YearMonth,AgriEmploymentLevel
1948-01,2022
1948-02,1662
1948-03,1560
1948-04,1676
1948-05,1587
1948-06,1690
1948-07,1736
1948-08,1551
1948-09,1732
1948-10,1534
1948-11,1482
1948-12,1610
1949-01,1581
1949-02,1819
1949-03,1912
1949-04,1802
1949-05,1878
1949-06,1703
1949-07,1789
1949-08,1820
1949-09,1654
1949-10,1494
1949-11,1675
1949-12,1683
1950-01,1491
1950-02,1429
1950-03,1362
1950-04,1510
1950-05,1617
1950-06,1647
1950-07,1673
1950-08,1710
1950-09,1567
1950-10,1996
1950-11,1768
1950-12,1536
1951-01,1672
1951-02,1576
1951-03,1579
1951-04,1600
1951-05,1593
1951-06,1465
1951-07,1473
1951-08,1507
1951-09,1462
1951-10,1565
1951-11,1509
1951-12,1656
1952-01,1822
1952-02,1652
1952-03,1517
1952-04,1429
1952-05,1358
1952-06,1485
1952-07,1372
1952-08,1269
1952-09,1460
1952-10,1439
1952-11,1353
1952-12,1231
1953-01,1332
1953-02,1384
1953-03,1493
1953-04,1471
1953-05,1330
1953-06,1404
1953-07,1253
1953-08,1268
1953-09,1314
1953-10,1335
1953-11,1500
1953-12,1479
1954-01,1530
1954-02,1439
1954-03,1408
1954-04,1296
1954-05,1362
1954-06,1220
1954-07,1330
1954-08,1348
1954-09,1389
1954-10,1287
1954-11,1292
1954-12,1318
1955-01,1350
1955-02,1365
1955-03,1481
1955-04,1558
1955-05,1502
1955-06,1411
1955-07,1600
1955-08,1656
1955-09,1913
1955-10,1738
1955-11,1715
1955-12,1712
1956-01,1647
1956-02,1573
1956-03,1498
1956-04,1499
1956-05,1527
1956-06,1592
1956-07,1718
1956-08,1645
1956-09,1642
1956-10,1636
1956-11,1553
1956-12,1321
1957-01,1458
1957-02,1535
1957-03,1467
1957-04,1486
1957-05,1647
1957-06,1644
1957-07,1831
1957-08,1540
1957-09,1496
1957-10,1553
1957-11,1521
1957-12,1752
1958-01,1551
1958-02,1443
1958-03,1558
1958-04,1562
1958-05,1597
1958-06,1525
1958-07,1505
1958-08,1610
1958-09,1527
1958-10,1603
1958-11,1643
1958-12,1617
1959-01,1586
1959-02,1475
1959-03,1679
1959-04,1753
1959-05,1641
1959-06,1603
1959-07,1598
1959-08,1478
1959-09,1576
1959-10,1512
1959-11,1520
1959-12,1614
1960-01,1669
1960-02,1664
1960-03,1458
1960-04,1756
1960-05,1741
1960-06,1745
1960-07,1789
1960-08,1884
1960-09,1999
1960-10,1735
1960-11,1759
1960-12,1786
1961-01,1728
1961-02,1680
1961-03,1619
1961-04,1607
1961-05,1603
1961-06,1674
1961-07,1635
1961-08,1733
1961-09,1543
1961-10,1659
1961-11,1578
1961-12,1478
1962-01,1514
1962-02,1709
1962-03,1639
1962-04,1601
1962-05,1537
1962-06,1586
1962-07,1544
1962-08,1515
1962-09,1598
1962-10,1533
1962-11,1546
1962-12,1445
1963-01,1735
1963-02,1539
1963-03,1613
1963-04,1540
1963-05,1552
1963-06,1469
1963-07,1551
1963-08,1523
1963-09,1577
1963-10,1579
1963-11,1577
1963-12,1575
1964-01,1548
1964-02,1511
1964-03,1377
1964-04,1415
1964-05,1491
1964-06,1456
1964-07,1476
1964-08,1457
1964-09,1489
1964-10,1506
1964-11,1511
1964-12,1383
1965-01,1373
1965-02,1383
1965-03,1359
1965-04,1362
1965-05,1492
1965-06,1403
1965-07,1383
1965-08,1320
1965-09,1366
1965-10,1498
1965-11,1312
1965-12,1367
1966-01,1302
1966-02,1271
1966-03,1283
1966-04,1329
1966-05,1217
1966-06,1310
1966-07,1279
1966-08,1302
1966-09,1216
1966-10,1238
1966-11,1235
1966-12,1199
1967-01,1330
1967-02,1212
1967-03,1286
1967-04,1293
1967-05,1183
1967-06,1271
1967-07,1316
1967-08,1359
1967-09,1248
1967-10,1369
1967-11,1384
1967-12,1374
1968-01,1425
1968-02,1407
1968-03,1332
1968-04,1311
1968-05,1280
1968-06,1261
1968-07,1254
1968-08,1215
1968-09,1242
1968-10,1232
1968-11,1259
1968-12,1230
1969-01,1172
1969-02,1231
1969-03,1191
1969-04,1172
1969-05,1221
1969-06,1246
1969-07,1162
1969-08,1184
1969-09,1146
1969-10,1163
1969-11,1126
1969-12,1106
1970-01,1089
1970-02,1086
1970-03,1129
1970-04,1228
1970-05,1145
1970-06,1167
1970-07,1171
1970-08,1169
1970-09,1192
1970-10,1136
1970-11,1130
1970-12,1169
1971-01,1158
1971-02,1084
1971-03,1178
1971-04,1307
1971-05,1206
1971-06,1167
1971-07,1150
1971-08,1131
1971-09,1144
1971-10,1177
1971-11,1168
1971-12,1109
1972-01,1149
1972-02,1160
1972-03,1191
1972-04,1211
1972-05,1178
1972-06,1224
1972-07,1250
1972-08,1290
1972-09,1232
1972-10,1246
1972-11,1249
1972-12,1284
1973-01,1234
1973-02,1241
1973-03,1228
1973-04,1238
1973-05,1237
1973-06,1282
1973-07,1294
1973-08,1228
1973-09,1209
1973-10,1273
1973-11,1358
1973-12,1392
1974-01,1444
1974-02,1466
1974-03,1453
1974-04,1330
1974-05,1368
1974-06,1305
1974-07,1301
1974-08,1332
1974-09,1369
1974-10,1374
1974-11,1420
1974-12,1302
1975-01,1302
