label,state,estimate,moe,percent,percent moe,year
Civilian employed population 16 years and over,Alabama,2036867.0,5904.0,100.0,,2010
    Private wage and salary workers,Alabama,1577910.0,5502.0,77.5,0.2,2010
    Government workers,Alabama,332613.0,3505.0,16.3,0.2,2010
    Self-employed in own not incorporated business workers,Alabama,122738.0,2498.0,6.0,0.1,2010
    Unpaid family workers,Alabama,3606.0,397.0,0.2,0.1,2010
Civilian employed population 16 years and over,Alaska,332126.0,2150.0,100.0,,2010
    Private wage and salary workers,Alaska,222955.0,2485.0,67.1,0.5,2010
    Government workers,Alaska,84606.0,1614.0,25.5,0.5,2010
    Self-employed in own not incorporated business workers,Alaska,23532.0,785.0,7.1,0.2,2010
    Unpaid family workers,Alaska,1033.0,235.0,0.3,0.1,2010
Civilian employed population 16 years and over,Arizona,2747475.0,7324.0,100.0,,2010
    Private wage and salary workers,Arizona,2154992.0,7646.0,78.4,0.2,2010
    Government workers,Arizona,416233.0,5281.0,15.1,0.2,2010
    Self-employed in own not incorporated business workers,Arizona,171859.0,3235.0,6.3,0.1,2010
    Unpaid family workers,Arizona,4391.0,538.0,0.2,0.1,2010
Civilian employed population 16 years and over,Arkansas,1254140.0,4879.0,100.0,,2010
    Private wage and salary workers,Arkansas,960643.0,5085.0,76.6,0.3,2010
    Government workers,Arkansas,202409.0,3415.0,16.1,0.3,2010
    Self-employed in own not incorporated business workers,Arkansas,88186.0,2039.0,7.0,0.2,2010
    Unpaid family workers,Arkansas,2902.0,394.0,0.2,0.1,2010
Civilian employed population 16 years and over,California,16632466.0,19046.0,100.0,,2010
    Private wage and salary workers,California,12729790.0,18223.0,76.5,0.1,2010
    Government workers,California,2425341.0,16344.0,14.6,0.1,2010
    Self-employed in own not incorporated business workers,California,1444135.0,9645.0,8.7,0.1,2010
    Unpaid family workers,California,33200.0,1326.0,0.2,0.1,2010
Civilian employed population 16 years and over,Colorado,2456139.0,6374.0,100.0,,2010
    Private wage and salary workers,Colorado,1923666.0,5704.0,78.3,0.2,2010
    Government workers,Colorado,349593.0,4064.0,14.2,0.2,2010
    Self-employed in own not incorporated business workers,Colorado,177923.0,3356.0,7.2,0.1,2010
    Unpaid family workers,Colorado,4957.0,477.0,0.2,0.1,2010
Civilian employed population 16 years and over,Connecticut,1765549.0,5408.0,100.0,,2010
    Private wage and salary workers,Connecticut,1407377.0,5950.0,79.7,0.2,2010
    Government workers,Connecticut,236804.0,3401.0,13.4,0.2,2010
    Self-employed in own not incorporated business workers,Connecticut,118702.0,2283.0,6.7,0.1,2010
    Unpaid family workers,Connecticut,2666.0,341.0,0.2,0.1,2010
Civilian employed population 16 years and over,Delaware,419062.0,2855.0,100.0,,2010
    Private wage and salary workers,Delaware,339582.0,2552.0,81.0,0.4,2010
    Government workers,Delaware,60859.0,1668.0,14.5,0.4,2010
    Self-employed in own not incorporated business workers,Delaware,18143.0,906.0,4.3,0.2,2010
    Unpaid family workers,Delaware,478.0,155.0,0.1,0.1,2010
Civilian employed population 16 years and over,District of Columbia,297189.0,2534.0,100.0,,2010
    Private wage and salary workers,District of Columbia,203846.0,2417.0,68.6,0.6,2010
    Government workers,District of Columbia,78192.0,1816.0,26.3,0.5,2010
    Self-employed in own not incorporated business workers,District of Columbia,14869.0,888.0,5.0,0.3,2010
    Unpaid family workers,District of Columbia,282.0,121.0,0.1,0.1,2010
Civilian employed population 16 years and over,Florida,8317203.0,15196.0,100.0,,2010
    Private wage and salary workers,Florida,6703300.0,13530.0,80.6,0.1,2010
    Government workers,Florida,1098322.0,10377.0,13.2,0.1,2010
    Self-employed in own not incorporated business workers,Florida,501579.0,6766.0,6.0,0.1,2010
    Unpaid family workers,Florida,14002.0,862.0,0.2,0.1,2010
Civilian employed population 16 years and over,Georgia,4296760.0,9294.0,100.0,,2010
    Private wage and salary workers,Georgia,3362548.0,9209.0,78.3,0.2,2010
    Government workers,Georgia,675962.0,7006.0,15.7,0.2,2010
    Self-employed in own not incorporated business workers,Georgia,249838.0,4151.0,5.8,0.1,2010
    Unpaid family workers,Georgia,8412.0,702.0,0.2,0.1,2010
Civilian employed population 16 years and over,Hawaii,636454.0,3786.0,100.0,,2010
    Private wage and salary workers,Hawaii,455520.0,3724.0,71.6,0.5,2010
    Government workers,Hawaii,128536.0,2780.0,20.2,0.4,2010
    Self-employed in own not incorporated business workers,Hawaii,50868.0,1560.0,8.0,0.2,2010
    Unpaid family workers,Hawaii,1530.0,331.0,0.2,0.1,2010
Civilian employed population 16 years and over,Idaho,698898.0,2560.0,100.0,,2010
    Private wage and salary workers,Idaho,530315.0,2953.0,75.9,0.3,2010
    Government workers,Idaho,108582.0,2288.0,15.5,0.3,2010
    Self-employed in own not incorporated business workers,Idaho,58056.0,1694.0,8.3,0.2,2010
    Unpaid family workers,Idaho,1945.0,308.0,0.3,0.1,2010
Civilian employed population 16 years and over,Illinois,6062848.0,11006.0,100.0,,2010
    Private wage and salary workers,Illinois,4965671.0,10404.0,81.9,0.1,2010
    Government workers,Illinois,780081.0,6758.0,12.9,0.1,2010
    Self-employed in own not incorporated business workers,Illinois,307883.0,3798.0,5.1,0.1,2010
    Unpaid family workers,Illinois,9213.0,638.0,0.2,0.1,2010
Civilian employed population 16 years and over,Indiana,2999570.0,7274.0,100.0,,2010
    Private wage and salary workers,Indiana,2492633.0,6379.0,83.1,0.1,2010
    Government workers,Indiana,350347.0,4287.0,11.7,0.1,2010
    Self-employed in own not incorporated business workers,Indiana,151454.0,2384.0,5.0,0.1,2010
    Unpaid family workers,Indiana,5136.0,565.0,0.2,0.1,2010
Civilian employed population 16 years and over,Iowa,1553594.0,3661.0,100.0,,2010
    Private wage and salary workers,Iowa,1221421.0,4062.0,78.6,0.2,2010
    Government workers,Iowa,215073.0,3102.0,13.8,0.2,2010
    Self-employed in own not incorporated business workers,Iowa,113588.0,1829.0,7.3,0.1,2010
    Unpaid family workers,Iowa,3512.0,354.0,0.2,0.1,2010
Civilian employed population 16 years and over,Kansas,1390619.0,4168.0,100.0,,2010
    Private wage and salary workers,Kansas,1060575.0,4477.0,76.3,0.2,2010
    Government workers,Kansas,228678.0,3088.0,16.4,0.2,2010
    Self-employed in own not incorporated business workers,Kansas,98084.0,1624.0,7.1,0.1,2010
    Unpaid family workers,Kansas,3282.0,397.0,0.2,0.1,2010
Civilian employed population 16 years and over,Kentucky,1871531.0,5208.0,100.0,,2010
    Private wage and salary workers,Kentucky,1466073.0,4551.0,78.3,0.2,2010
    Government workers,Kentucky,286254.0,3724.0,15.3,0.2,2010
    Self-employed in own not incorporated business workers,Kentucky,115334.0,2081.0,6.2,0.1,2010
    Unpaid family workers,Kentucky,3870.0,437.0,0.2,0.1,2010
Civilian employed population 16 years and over,Louisiana,1952818.0,5980.0,100.0,,2010
    Private wage and salary workers,Louisiana,1505474.0,6101.0,77.1,0.2,2010
    Government workers,Louisiana,323145.0,4558.0,16.5,0.2,2010
    Self-employed in own not incorporated business workers,Louisiana,120399.0,3066.0,6.2,0.2,2010
    Unpaid family workers,Louisiana,3800.0,498.0,0.2,0.1,2010
Civilian employed population 16 years and over,Maine,657556.0,2831.0,100.0,,2010
    Private wage and salary workers,Maine,499172.0,2928.0,75.9,0.3,2010
    Government workers,Maine,93975.0,1856.0,14.3,0.3,2010
    Self-employed in own not incorporated business workers,Maine,63090.0,1485.0,9.6,0.2,2010
    Unpaid family workers,Maine,1319.0,224.0,0.2,0.1,2010
Civilian employed population 16 years and over,Maryland,2903595.0,6156.0,100.0,,2010
    Private wage and salary workers,Maryland,2107477.0,7177.0,72.6,0.2,2010
    Government workers,Maryland,643957.0,5475.0,22.2,0.2,2010
    Self-employed in own not incorporated business workers,Maryland,148318.0,2317.0,5.1,0.1,2010
    Unpaid family workers,Maryland,3843.0,478.0,0.1,0.1,2010
Civilian employed population 16 years and over,Massachusetts,3271535.0,7325.0,100.0,,2010
    Private wage and salary workers,Massachusetts,2629874.0,7589.0,80.4,0.2,2010
    Government workers,Massachusetts,426584.0,5003.0,13.0,0.1,2010
    Self-employed in own not incorporated business workers,Massachusetts,211069.0,2979.0,6.5,0.1,2010
    Unpaid family workers,Massachusetts,4008.0,460.0,0.1,0.1,2010
Civilian employed population 16 years and over,Michigan,4369785.0,10590.0,100.0,,2010
    Private wage and salary workers,Michigan,3593359.0,8721.0,82.2,0.1,2010
    Government workers,Michigan,530927.0,4899.0,12.1,0.1,2010
    Self-employed in own not incorporated business workers,Michigan,237234.0,2876.0,5.4,0.1,2010
    Unpaid family workers,Michigan,8265.0,513.0,0.2,0.1,2010
Civilian employed population 16 years and over,Minnesota,2730721.0,5905.0,100.0,,2010
    Private wage and salary workers,Minnesota,2216606.0,5754.0,81.2,0.1,2010
    Government workers,Minnesota,334700.0,3218.0,12.3,0.1,2010
