label,state,estimate,moe,percent,percent moe,year
Workers 16 years and over,Alabama,2000289.0,6235.0,100.0,,2010
"    Car, truck, or van -- drove alone",Alabama,1672185.0,7114.0,83.6,0.2,2010
"    Car, truck, or van -- carpooled",Alabama,222349.0,3524.0,11.1,0.2,2010
    Public transportation (excluding taxicab),Alabama,9062.0,673.0,0.5,0.1,2010
    Walked,Alabama,25007.0,1487.0,1.3,0.1,2010
    Other means,Alabama,21128.0,925.0,1.1,0.1,2010
    Worked at home,Alabama,50558.0,1510.0,2.5,0.1,2010
    Mean travel time to work (minutes),Alabama,23.9,0.1,,,2010
Workers 16 years and over,Alaska,334044.0,2091.0,100.0,,2010
"    Car, truck, or van -- drove alone",Alaska,223423.0,2339.0,66.9,0.6,2010
"    Car, truck, or van -- carpooled",Alaska,44858.0,1796.0,13.4,0.5,2010
    Public transportation (excluding taxicab),Alaska,4446.0,461.0,1.3,0.1,2010
    Walked,Alaska,27336.0,1343.0,8.2,0.4,2010
    Other means,Alaska,15764.0,792.0,4.7,0.2,2010
    Worked at home,Alaska,18217.0,1327.0,5.5,0.4,2010
    Mean travel time to work (minutes),Alaska,18.1,0.3,,,2010
Workers 16 years and over,Arizona,2699943.0,7551.0,100.0,,2010
"    Car, truck, or van -- drove alone",Arizona,2040572.0,7988.0,75.6,0.2,2010
"    Car, truck, or van -- carpooled",Arizona,340523.0,5845.0,12.6,0.2,2010
    Public transportation (excluding taxicab),Arizona,54275.0,2184.0,2.0,0.1,2010
    Walked,Arizona,59454.0,1965.0,2.2,0.1,2010
    Other means,Arizona,66021.0,2366.0,2.4,0.1,2010
    Worked at home,Arizona,139098.0,2956.0,5.2,0.1,2010
    Mean travel time to work (minutes),Arizona,24.8,0.1,,,2010
Workers 16 years and over,Arkansas,1230061.0,4977.0,100.0,,2010
"    Car, truck, or van -- drove alone",Arkansas,995204.0,4759.0,80.9,0.3,2010
"    Car, truck, or van -- carpooled",Arkansas,149116.0,3024.0,12.1,0.2,2010
    Public transportation (excluding taxicab),Arkansas,5321.0,562.0,0.4,0.1,2010
    Walked,Arkansas,22094.0,1275.0,1.8,0.1,2010
    Other means,Arkansas,17432.0,980.0,1.4,0.1,2010
    Worked at home,Arkansas,40894.0,1586.0,3.3,0.1,2010
    Mean travel time to work (minutes),Arkansas,21.1,0.1,,,2010
Workers 16 years and over,California,16271905.0,18525.0,100.0,,2010
"    Car, truck, or van -- drove alone",California,11870741.0,18930.0,73.0,0.1,2010
"    Car, truck, or van -- carpooled",California,1939796.0,14370.0,11.9,0.1,2010
    Public transportation (excluding taxicab),California,834363.0,7357.0,5.1,0.1,2010
    Walked,California,450439.0,5924.0,2.8,0.1,2010
    Other means,California,370747.0,4947.0,2.3,0.1,2010
    Worked at home,California,805819.0,7293.0,5.0,0.1,2010
    Mean travel time to work (minutes),California,26.9,0.1,,,2010
Workers 16 years and over,Colorado,2429357.0,6519.0,100.0,,2010
"    Car, truck, or van -- drove alone",Colorado,1810257.0,6944.0,74.5,0.2,2010
"    Car, truck, or van -- carpooled",Colorado,254404.0,4402.0,10.5,0.2,2010
    Public transportation (excluding taxicab),Colorado,79899.0,2330.0,3.3,0.1,2010
    Walked,Colorado,73780.0,2194.0,3.0,0.1,2010
    Other means,Colorado,58087.0,1577.0,2.4,0.1,2010
    Worked at home,Colorado,152930.0,2684.0,6.3,0.1,2010
    Mean travel time to work (minutes),Colorado,24.2,0.1,,,2010
Workers 16 years and over,Connecticut,1726096.0,5339.0,100.0,,2010
"    Car, truck, or van -- drove alone",Connecticut,1364621.0,4982.0,79.1,0.2,2010
"    Car, truck, or van -- carpooled",Connecticut,143679.0,3058.0,8.3,0.2,2010
    Public transportation (excluding taxicab),Connecticut,76305.0,1921.0,4.4,0.1,2010
    Walked,Connecticut,51957.0,1763.0,3.0,0.1,2010
    Other means,Connecticut,21463.0,1096.0,1.2,0.1,2010
    Worked at home,Connecticut,68071.0,1729.0,3.9,0.1,2010
    Mean travel time to work (minutes),Connecticut,24.6,0.1,,,2010
Workers 16 years and over,Delaware,412021.0,2968.0,100.0,,2010
"    Car, truck, or van -- drove alone",Delaware,328860.0,2732.0,79.8,0.5,2010
"    Car, truck, or van -- carpooled",Delaware,40767.0,1776.0,9.9,0.4,2010
    Public transportation (excluding taxicab),Delaware,13062.0,899.0,3.2,0.2,2010
    Walked,Delaware,10291.0,724.0,2.5,0.2,2010
    Other means,Delaware,6178.0,777.0,1.5,0.2,2010
    Worked at home,Delaware,12863.0,835.0,3.1,0.2,2010
    Mean travel time to work (minutes),Delaware,24.1,0.3,,,2010
Workers 16 years and over,District of Columbia,292979.0,2616.0,100.0,,2010
"    Car, truck, or van -- drove alone",District of Columbia,105104.0,2365.0,35.9,0.7,2010
"    Car, truck, or van -- carpooled",District of Columbia,19147.0,1048.0,6.5,0.3,2010
    Public transportation (excluding taxicab),District of Columbia,110108.0,2387.0,37.6,0.8,2010
    Walked,District of Columbia,34897.0,1392.0,11.9,0.5,2010
    Other means,District of Columbia,10091.0,649.0,3.4,0.2,2010
    Worked at home,District of Columbia,13632.0,907.0,4.7,0.3,2010
    Mean travel time to work (minutes),District of Columbia,29.3,0.3,,,2010
Workers 16 years and over,Florida,8165401.0,14942.0,100.0,,2010
"    Car, truck, or van -- drove alone",Florida,6486547.0,14394.0,79.4,0.1,2010
"    Car, truck, or van -- carpooled",Florida,848329.0,9652.0,10.4,0.1,2010
    Public transportation (excluding taxicab),Florida,160236.0,4375.0,2.0,0.1,2010
    Walked,Florida,132455.0,3773.0,1.6,0.1,2010
    Other means,Florida,179876.0,4296.0,2.2,0.1,2010
    Worked at home,Florida,357958.0,4645.0,4.4,0.1,2010
    Mean travel time to work (minutes),Florida,25.7,0.1,,,2010
Workers 16 years and over,Georgia,4241387.0,9620.0,100.0,,2010
"    Car, truck, or van -- drove alone",Georgia,3336132.0,9935.0,78.7,0.2,2010
"    Car, truck, or van -- carpooled",Georgia,475113.0,5531.0,11.2,0.1,2010
    Public transportation (excluding taxicab),Georgia,96011.0,2988.0,2.3,0.1,2010
    Walked,Georgia,66721.0,2220.0,1.6,0.1,2010
    Other means,Georgia,76896.0,2594.0,1.8,0.1,2010
    Worked at home,Georgia,190514.0,3182.0,4.5,0.1,2010
    Mean travel time to work (minutes),Georgia,27.0,0.1,,,2010
Workers 16 years and over,Hawaii,658322.0,3323.0,100.0,,2010
"    Car, truck, or van -- drove alone",Hawaii,436604.0,3687.0,66.3,0.5,2010
"    Car, truck, or van -- carpooled",Hawaii,101704.0,2323.0,15.4,0.3,2010
    Public transportation (excluding taxicab),Hawaii,39605.0,1650.0,6.0,0.2,2010
    Walked,Hawaii,30989.0,1778.0,4.7,0.3,2010
    Other means,Hawaii,18868.0,1042.0,2.9,0.2,2010
    Worked at home,Hawaii,30552.0,1655.0,4.6,0.3,2010
    Mean travel time to work (minutes),Hawaii,25.9,0.2,,,2010
Workers 16 years and over,Idaho,685617.0,2668.0,100.0,,2010
"    Car, truck, or van -- drove alone",Idaho,524029.0,3447.0,76.4,0.4,2010
"    Car, truck, or van -- carpooled",Idaho,78061.0,2018.0,11.4,0.3,2010
    Public transportation (excluding taxicab),Idaho,6100.0,561.0,0.9,0.1,2010
    Walked,Idaho,21872.0,1162.0,3.2,0.2,2010
    Other means,Idaho,18291.0,1067.0,2.7,0.2,2010
    Worked at home,Idaho,37264.0,1509.0,5.4,0.2,2010
    Mean travel time to work (minutes),Idaho,20.1,0.2,,,2010
Workers 16 years and over,Illinois,5930230.0,10704.0,100.0,,2010
"    Car, truck, or van -- drove alone",Illinois,4366869.0,12032.0,73.6,0.1,2010
"    Car, truck, or van -- carpooled",Illinois,540099.0,5675.0,9.1,0.1,2010
    Public transportation (excluding taxicab),Illinois,515963.0,5036.0,8.7,0.1,2010
    Walked,Illinois,181617.0,3467.0,3.1,0.1,2010
    Other means,Illinois,93276.0,2497.0,1.6,0.1,2010
    Worked at home,Illinois,232406.0,2870.0,3.9,0.1,2010
    Mean travel time to work (minutes),Illinois,28.1,0.1,,,2010
Workers 16 years and over,Indiana,2932461.0,7059.0,100.0,,2010
"    Car, truck, or van -- drove alone",Indiana,2425993.0,7946.0,82.7,0.2,2010
"    Car, truck, or van -- carpooled",Indiana,278574.0,4584.0,9.5,0.2,2010
    Public transportation (excluding taxicab),Indiana,30940.0,1362.0,1.1,0.1,2010
    Walked,Indiana,65118.0,1525.0,2.2,0.1,2010
    Other means,Indiana,37112.0,1316.0,1.3,0.1,2010
    Worked at home,Indiana,94724.0,2052.0,3.2,0.1,2010
    Mean travel time to work (minutes),Indiana,22.8,0.1,,,2010
Workers 16 years and over,Iowa,1520445.0,3771.0,100.0,,2010
"    Car, truck, or van -- drove alone",Iowa,1196233.0,4907.0,78.7,0.2,2010
"    Car, truck, or van -- carpooled",Iowa,156355.0,2964.0,10.3,0.2,2010
    Public transportation (excluding taxicab),Iowa,16803.0,960.0,1.1,0.1,2010
    Walked,Iowa,58183.0,1453.0,3.8,0.1,2010
    Other means,Iowa,20382.0,1046.0,1.3,0.1,2010
    Worked at home,Iowa,72489.0,1290.0,4.8,0.1,2010
    Mean travel time to work (minutes),Iowa,18.5,0.1,,,2010
Workers 16 years and over,Kansas,1374765.0,4078.0,100.0,,2010
"    Car, truck, or van -- drove alone",Kansas,1118719.0,4693.0,81.4,0.3,2010
"    Car, truck, or van -- carpooled",Kansas,133510.0,2929.0,9.7,0.2,2010
    Public transportation (excluding taxicab),Kansas,7066.0,676.0,0.5,0.1,2010
    Walked,Kansas,36361.0,1339.0,2.6,0.1,2010
    Other means,Kansas,19711.0,1003.0,1.4,0.1,2010
    Worked at home,Kansas,59398.0,1377.0,4.3,0.1,2010
    Mean travel time to work (minutes),Kansas,18.8,0.1,,,2010
Workers 16 years and over,Kentucky,1839402.0,5615.0,100.0,,2010
"    Car, truck, or van -- drove alone",Kentucky,1499327.0,6204.0,81.5,0.2,2010
"    Car, truck, or van -- carpooled",Kentucky,201935.0,4150.0,11.0,0.2,2010
    Public transportation (excluding taxicab),Kentucky,21331.0,1059.0,1.2,0.1,2010
    Walked,Kentucky,40097.0,1851.0,2.2,0.1,2010
    Other means,Kentucky,19798.0,977.0,1.1,0.1,2010
    Worked at home,Kentucky,56914.0,1751.0,3.1,0.1,2010
    Mean travel time to work (minutes),Kentucky,22.5,0.1,,,2010
Workers 16 years and over,Louisiana,1914440.0,6151.0,100.0,,2010
"    Car, truck, or van -- drove alone",Louisiana,1558549.0,6124.0,81.4,0.2,2010
"    Car, truck, or van -- carpooled",Louisiana,212128.0,3823.0,11.1,0.2,2010
    Public transportation (excluding taxicab),Louisiana,24248.0,1418.0,1.3,0.1,2010
    Walked,Louisiana,37196.0,1782.0,1.9,0.1,2010
    Other means,Louisiana,36547.0,1356.0,1.9,0.1,2010
    Worked at home,Louisiana,45772.0,1614.0,2.4,0.1,2010
    Mean travel time to work (minutes),Louisiana,25.0,0.1,,,2010
Workers 16 years and over,Maine,641796.0,2947.0,100.0,,2010
"    Car, truck, or van -- drove alone",Maine,504614.0,3212.0,78.6,0.3,2010
"    Car, truck, or van -- carpooled",Maine,64708.0,1634.0,10.1,0.3,2010
    Public transportation (excluding taxicab),Maine,4107.0,432.0,0.6,0.1,2010
    Walked,Maine,26002.0,1157.0,4.1,0.2,2010
    Other means,Maine,9828.0,678.0,1.5,0.1,2010
    Worked at home,Maine,32537.0,1206.0,5.1,0.2,2010
    Mean travel time to work (minutes),Maine,22.8,0.2,,,2010
Workers 16 years and over,Maryland,2855936.0,6053.0,100.0,,2010
"    Car, truck, or van -- drove alone",Maryland,2089717.0,6462.0,73.2,0.2,2010
"    Car, truck, or van -- carpooled",Maryland,303049.0,4581.0,10.6,0.2,2010
    Public transportation (excluding taxicab),Maryland,248485.0,3653.0,8.7,0.1,2010
    Walked,Maryland,71275.0,2025.0,2.5,0.1,2010
    Other means,Maryland,32998.0,1356.0,1.2,0.1,2010
    Worked at home,Maryland,110412.0,2659.0,3.9,0.1,2010
    Mean travel time to work (minutes),Maryland,31.3,0.1,,,2010
Workers 16 years and over,Massachusetts,3188619.0,7767.0,100.0,,2010
"    Car, truck, or van -- drove alone",Massachusetts,2313239.0,8094.0,72.5,0.2,2010
"    Car, truck, or van -- carpooled",Massachusetts,263534.0,4927.0,8.3,0.2,2010
    Public transportation (excluding taxicab),Massachusetts,289058.0,4179.0,9.1,0.1,2010
    Walked,Massachusetts,146551.0,2930.0,4.6,0.1,2010
    Other means,Massachusetts,48093.0,1745.0,1.5,0.1,2010
    Worked at home,Massachusetts,128144.0,2651.0,4.0,0.1,2010
    Mean travel time to work (minutes),Massachusetts,27.3,0.1,,,2010
Workers 16 years and over,Michigan,4255557.0,11178.0,100.0,,2010
"    Car, truck, or van -- drove alone",Michigan,3527070.0,11009.0,82.9,0.1,2010
"    Car, truck, or van -- carpooled",Michigan,380844.0,4275.0,8.9,0.1,2010
    Public transportation (excluding taxicab),Michigan,53244.0,1389.0,1.3,0.1,2010
    Walked,Michigan,96839.0,2487.0,2.3,0.1,2010
    Other means,Michigan,48875.0,1539.0,1.1,0.1,2010
    Worked at home,Michigan,148685.0,3186.0,3.5,0.1,2010
    Mean travel time to work (minutes),Michigan,23.7,0.1,,,2010
Workers 16 years and over,Minnesota,2676172.0,5978.0,100.0,,2010
"    Car, truck, or van -- drove alone",Minnesota,2081140.0,6517.0,77.8,0.2,2010
"    Car, truck, or van -- carpooled",Minnesota,246431.0,3695.0,9.2,0.1,2010
    Public transportation (excluding taxicab),Minnesota,90712.0,2140.0,3.4,0.1,2010
    Walked,Minnesota,80738.0,1846.0,3.0,0.1,2010
    Other means,Minnesota,42382.0,1374.0,1.6,0.1,2010
    Worked at home,Minnesota,134769.0,2036.0,5.0,0.1,2010
    Mean travel time to work (minutes),Minnesota,22.4,0.1,,,2010
Workers 16 years and over,Mississippi,1197141.0,4677.0,100.0,,2010
"    Car, truck, or van -- drove alone",Mississippi,989725.0,5152.0,82.7,0.3,2010
"    Car, truck, or van -- carpooled",Mississippi,136729.0,3134.0,11.4,0.3,2010
    Public transportation (excluding taxicab),Mississippi,4913.0,556.0,0.4,0.1,2010
    Walked,Mississippi,20987.0,1371.0,1.8,0.1,2010
    Other means,Mississippi,16501.0,1192.0,1.4,0.1,2010
    Worked at home,Mississippi,28286.0,1682.0,2.4,0.1,2010
    Mean travel time to work (minutes),Mississippi,23.9,0.2,,,2010
Workers 16 years and over,Missouri,2752405.0,6390.0,100.0,,2010
"    Car, truck, or van -- drove alone",Missouri,2221511.0,7172.0,80.7,0.2,2010
"    Car, truck, or van -- carpooled",Missouri,283821.0,3343.0,10.3,0.1,2010
    Public transportation (excluding taxicab),Missouri,41045.0,1550.0,1.5,0.1,2010
    Walked,Missouri,55882.0,1760.0,2.0,0.1,2010
    Other means,Missouri,33532.0,1087.0,1.2,0.1,2010
    Worked at home,Missouri,116614.0,2318.0,4.2,0.1,2010
    Mean travel time to work (minutes),Missouri,23.2,0.1,,,2010
Workers 16 years and over,Montana,468315.0,2802.0,100.0,,2010
"    Car, truck, or van -- drove alone",Montana,346423.0,2629.0,74.0,0.4,2010
"    Car, truck, or van -- carpooled",Montana,49956.0,1578.0,10.7,0.3,2010
    Public transportation (excluding taxicab),Montana,4722.0,631.0,1.0,0.1,2010
    Walked,Montana,23751.0,1013.0,5.1,0.2,2010
    Other means,Montana,11475.0,747.0,2.5,0.2,2010
    Worked at home,Montana,31988.0,1226.0,6.8,0.2,2010
    Mean travel time to work (minutes),Montana,17.7,0.2,,,2010
Workers 16 years and over,Nebraska,923456.0,3310.0,100.0,,2010
"    Car, truck, or van -- drove alone",Nebraska,738299.0,3334.0,79.9,0.2,2010
"    Car, truck, or van -- carpooled",Nebraska,92673.0,2198.0,10.0,0.2,2010
    Public transportation (excluding taxicab),Nebraska,6086.0,549.0,0.7,0.1,2010
    Walked,Nebraska,29462.0,1059.0,3.2,0.1,2010
    Other means,Nebraska,11954.0,824.0,1.3,0.1,2010
    Worked at home,Nebraska,44982.0,1298.0,4.9,0.1,2010
    Mean travel time to work (minutes),Nebraska,17.9,0.1,,,2010
Workers 16 years and over,Nevada,1235259.0,5418.0,100.0,,2010
"    Car, truck, or van -- drove alone",Nevada,959891.0,5802.0,77.7,0.3,2010
"    Car, truck, or van -- carpooled",Nevada,143604.0,3657.0,11.6,0.3,2010
    Public transportation (excluding taxicab),Nevada,41976.0,1682.0,3.4,0.1,2010
    Walked,Nevada,26126.0,1450.0,2.1,0.1,2010
    Other means,Nevada,24058.0,1337.0,1.9,0.1,2010
    Worked at home,Nevada,39604.0,1659.0,3.2,0.1,2010
    Mean travel time to work (minutes),Nevada,23.6,0.2,,,2010
Workers 16 years and over,New Hampshire,677579.0,2857.0,100.0,,2010
"    Car, truck, or van -- drove alone",New Hampshire,552528.0,3148.0,81.5,0.3,2010
"    Car, truck, or van -- carpooled",New Hampshire,55684.0,1717.0,8.2,0.3,2010
    Public transportation (excluding taxicab),New Hampshire,5050.0,478.0,0.7,0.1,2010
    Walked,New Hampshire,21568.0,1109.0,3.2,0.2,2010
    Other means,New Hampshire,7904.0,560.0,1.2,0.1,2010
    Worked at home,New Hampshire,34845.0,1413.0,5.1,0.2,2010
    Mean travel time to work (minutes),New Hampshire,25.5,0.2,,,2010
Workers 16 years and over,New Jersey,4122554.0,9183.0,100.0,,2010
"    Car, truck, or van -- drove alone",New Jersey,2953040.0,8547.0,71.6,0.2,2010
"    Car, truck, or van -- carpooled",New Jersey,370898.0,5299.0,9.0,0.1,2010
    Public transportation (excluding taxicab),New Jersey,438293.0,5091.0,10.6,0.1,2010
    Walked,New Jersey,134922.0,3093.0,3.3,0.1,2010
    Other means,New Jersey,82498.0,2955.0,2.0,0.1,2010
    Worked at home,New Jersey,142903.0,2886.0,3.5,0.1,2010
    Mean travel time to work (minutes),New Jersey,29.8,0.1,,,2010
Workers 16 years and over,New Mexico,874958.0,4419.0,100.0,,2010
"    Car, truck, or van -- drove alone",New Mexico,679799.0,4664.0,77.7,0.4,2010
"    Car, truck, or van -- carpooled",New Mexico,105055.0,2451.0,12.0,0.3,2010
    Public transportation (excluding taxicab),New Mexico,9167.0,872.0,1.0,0.1,2010
    Walked,New Mexico,20671.0,1377.0,2.4,0.2,2010
    Other means,New Mexico,16186.0,931.0,1.8,0.1,2010
    Worked at home,New Mexico,44080.0,1498.0,5.0,0.2,2010
    Mean travel time to work (minutes),New Mexico,21.7,0.2,,,2010
Workers 16 years and over,New York,8815965.0,11739.0,100.0,,2010
"    Car, truck, or van -- drove alone",New York,4770901.0,12626.0,54.1,0.1,2010
"    Car, truck, or van -- carpooled",New York,651743.0,6453.0,7.4,0.1,2010
    Public transportation (excluding taxicab),New York,2338345.0,9609.0,26.5,0.1,2010
    Walked,New York,557313.0,5887.0,6.3,0.1,2010
    Other means,New York,158716.0,2869.0,1.8,0.1,2010
    Worked at home,New York,338947.0,4121.0,3.8,0.1,2010
    Mean travel time to work (minutes),New York,31.3,0.1,,,2010
Workers 16 years and over,North Carolina,4205946.0,8952.0,100.0,,2010
"    Car, truck, or van -- drove alone",North Carolina,3385870.0,8912.0,80.5,0.2,2010
"    Car, truck, or van -- carpooled",North Carolina,481125.0,6376.0,11.4,0.1,2010
    Public transportation (excluding taxicab),North Carolina,42731.0,1689.0,1.0,0.1,2010
    Walked,North Carolina,75342.0,2743.0,1.8,0.1,2010
    Other means,North Carolina,55090.0,1719.0,1.3,0.1,2010
    Worked at home,North Carolina,165788.0,3162.0,3.9,0.1,2010
    Mean travel time to work (minutes),North Carolina,23.4,0.1,,,2010
Workers 16 years and over,North Dakota,350016.0,1953.0,100.0,,2010
"    Car, truck, or van -- drove alone",North Dakota,275630.0,2136.0,78.7,0.5,2010
"    Car, truck, or van -- carpooled",North Dakota,33604.0,1239.0,9.6,0.4,2010
    Public transportation (excluding taxicab),North Dakota,2003.0,344.0,0.6,0.1,2010
    Walked,North Dakota,13605.0,611.0,3.9,0.2,2010
    Other means,North Dakota,5331.0,497.0,1.5,0.1,2010
    Worked at home,North Dakota,19843.0,645.0,5.7,0.2,2010
    Mean travel time to work (minutes),North Dakota,16.0,0.2,,,2010
Workers 16 years and over,Ohio,5246423.0,11632.0,100.0,,2010
"    Car, truck, or van -- drove alone",Ohio,4358221.0,12288.0,83.1,0.1,2010
"    Car, truck, or van -- carpooled",Ohio,437308.0,4824.0,8.3,0.1,2010
    Public transportation (excluding taxicab),Ohio,96351.0,2550.0,1.8,0.1,2010
    Walked,Ohio,121486.0,3042.0,2.3,0.1,2010
    Other means,Ohio,54256.0,1807.0,1.0,0.1,2010
    Worked at home,Ohio,178801.0,2408.0,3.4,0.1,2010
    Mean travel time to work (minutes),Ohio,22.7,0.1,,,2010
Workers 16 years and over,Oklahoma,1655524.0,5029.0,100.0,,2010
"    Car, truck, or van -- drove alone",Oklahoma,1337989.0,4673.0,80.8,0.2,2010
