label,state,estimate,moe,percent,percent moe,year
Population 16 years and over,Alabama,3714504.0,1588.0,100.0,,2010
    In labor force,Alabama,2246848.0,5576.0,60.5,0.1,2010
        Civilian labor force,Alabama,2230879.0,5531.0,60.1,0.1,2010
            Employed,Alabama,2036867.0,5904.0,54.8,0.2,2010
            Unemployed,Alabama,194012.0,3179.0,5.2,0.1,2010
        Armed Forces,Alabama,15969.0,888.0,0.4,0.1,2010
    Not in labor force,Alabama,1467656.0,5401.0,39.5,0.1,2010
    Civilian labor force,Alabama,2230879.0,5531.0,100.0,,2010
    Percent Unemployed,Alabama,,,8.7,0.1,2010
Females 16 years and over,Alabama,1939093.0,1296.0,100.0,,2010
    In labor force,Alabama,1056264.0,4410.0,54.5,0.2,2010
        Civilian labor force,Alabama,1053955.0,4417.0,54.4,0.2,2010
            Employed,Alabama,959472.0,4545.0,49.5,0.2,2010
Own children under 6 years,Alabama,343965.0,1853.0,100.0,,2010
    All parents in family in labor force,Alabama,221589.0,2891.0,64.4,0.7,2010
Own children 6 to 17 years,Alabama,711997.0,2575.0,100.0,,2010
    All parents in family in labor force,Alabama,495825.0,4687.0,69.6,0.6,2010
Population 16 years and over,Alaska,528189.0,576.0,100.0,,2010
    In labor force,Alaska,380443.0,1830.0,72.0,0.3,2010
        Civilian labor force,Alaska,363357.0,2053.0,68.8,0.4,2010
            Employed,Alaska,332126.0,2150.0,62.9,0.4,2010
            Unemployed,Alaska,31231.0,1169.0,5.9,0.2,2010
        Armed Forces,Alaska,17086.0,991.0,3.2,0.2,2010
    Not in labor force,Alaska,147746.0,1758.0,28.0,0.3,2010
    Civilian labor force,Alaska,363357.0,2053.0,100.0,,2010
    Percent Unemployed,Alaska,,,8.6,0.3,2010
Females 16 years and over,Alaska,253768.0,631.0,100.0,,2010
    In labor force,Alaska,169506.0,1561.0,66.8,0.6,2010
        Civilian labor force,Alaska,167437.0,1540.0,66.0,0.6,2010
            Employed,Alaska,155023.0,1671.0,61.1,0.6,2010
Own children under 6 years,Alaska,58949.0,631.0,100.0,,2010
    All parents in family in labor force,Alaska,35341.0,1136.0,60.0,1.8,2010
Own children 6 to 17 years,Alaska,115731.0,919.0,100.0,,2010
    All parents in family in labor force,Alaska,81521.0,1561.0,70.4,1.2,2010
Population 16 years and over,Arizona,4813496.0,1502.0,100.0,,2010
    In labor force,Arizona,2995656.0,7547.0,62.2,0.2,2010
        Civilian labor force,Arizona,2975166.0,7606.0,61.8,0.2,2010
            Employed,Arizona,2747475.0,7324.0,57.1,0.2,2010
            Unemployed,Arizona,227691.0,3977.0,4.7,0.1,2010
        Armed Forces,Arizona,20490.0,1030.0,0.4,0.1,2010
    Not in labor force,Arizona,1817840.0,7475.0,37.8,0.2,2010
    Civilian labor force,Arizona,2975166.0,7606.0,100.0,,2010
    Percent Unemployed,Arizona,,,7.7,0.1,2010
Females 16 years and over,Arizona,2437925.0,1155.0,100.0,,2010
    In labor force,Arizona,1370506.0,5167.0,56.2,0.2,2010
        Civilian labor force,Arizona,1367620.0,5136.0,56.1,0.2,2010
            Employed,Arizona,1267437.0,5172.0,52.0,0.2,2010
Own children under 6 years,Arizona,530317.0,2347.0,100.0,,2010
    All parents in family in labor force,Arizona,308619.0,3769.0,58.2,0.7,2010
Own children 6 to 17 years,Arizona,990907.0,3053.0,100.0,,2010
    All parents in family in labor force,Arizona,664252.0,5812.0,67.0,0.5,2010
Population 16 years and over,Arkansas,2247624.0,1178.0,100.0,,2010
    In labor force,Arkansas,1367999.0,4324.0,60.9,0.2,2010
        Civilian labor force,Arkansas,1360938.0,4367.0,60.6,0.2,2010
