label,state,estimate,moe,percent,percent moe,year
    Civilian noninstitutionalized population,Alabama,,,,,2010
    With health insurance coverage,Alabama,,,,,2010
        With private health insurance,Alabama,,,,,2010
        With public coverage,Alabama,,,,,2010
    No health insurance coverage,Alabama,,,,,2010
Civilian noninstitutionalized population under 18 years,Alabama,,,,,2010
    No health insurance coverage,Alabama,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Alabama,,,,,2010
    In labor force:,Alabama,,,,,2010
        Employed:,Alabama,,,,,2010
            With health insurance coverage,Alabama,,,,,2010
                With private health insurance,Alabama,,,,,2010
                With public coverage,Alabama,,,,,2010
            No health insurance coverage,Alabama,,,,,2010
        Unemployed:,Alabama,,,,,2010
            With health insurance coverage,Alabama,,,,,2010
                With private health insurance,Alabama,,,,,2010
                With public coverage,Alabama,,,,,2010
            No health insurance coverage,Alabama,,,,,2010
    Not in labor force:,Alabama,,,,,2010
        With health insurance coverage,Alabama,,,,,2010
            With private health insurance,Alabama,,,,,2010
            With public coverage,Alabama,,,,,2010
        No health insurance coverage,Alabama,,,,,2010
    Civilian noninstitutionalized population,Alaska,,,,,2010
    With health insurance coverage,Alaska,,,,,2010
        With private health insurance,Alaska,,,,,2010
        With public coverage,Alaska,,,,,2010
    No health insurance coverage,Alaska,,,,,2010
Civilian noninstitutionalized population under 18 years,Alaska,,,,,2010
    No health insurance coverage,Alaska,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Alaska,,,,,2010
    In labor force:,Alaska,,,,,2010
        Employed:,Alaska,,,,,2010
            With health insurance coverage,Alaska,,,,,2010
                With private health insurance,Alaska,,,,,2010
                With public coverage,Alaska,,,,,2010
            No health insurance coverage,Alaska,,,,,2010
        Unemployed:,Alaska,,,,,2010
            With health insurance coverage,Alaska,,,,,2010
                With private health insurance,Alaska,,,,,2010
                With public coverage,Alaska,,,,,2010
            No health insurance coverage,Alaska,,,,,2010
    Not in labor force:,Alaska,,,,,2010
        With health insurance coverage,Alaska,,,,,2010
            With private health insurance,Alaska,,,,,2010
            With public coverage,Alaska,,,,,2010
        No health insurance coverage,Alaska,,,,,2010
    Civilian noninstitutionalized population,Arizona,,,,,2010
    With health insurance coverage,Arizona,,,,,2010
        With private health insurance,Arizona,,,,,2010
        With public coverage,Arizona,,,,,2010
    No health insurance coverage,Arizona,,,,,2010
Civilian noninstitutionalized population under 18 years,Arizona,,,,,2010
    No health insurance coverage,Arizona,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Arizona,,,,,2010
    In labor force:,Arizona,,,,,2010
        Employed:,Arizona,,,,,2010
            With health insurance coverage,Arizona,,,,,2010
                With private health insurance,Arizona,,,,,2010
                With public coverage,Arizona,,,,,2010
            No health insurance coverage,Arizona,,,,,2010
        Unemployed:,Arizona,,,,,2010
            With health insurance coverage,Arizona,,,,,2010
                With private health insurance,Arizona,,,,,2010
                With public coverage,Arizona,,,,,2010
            No health insurance coverage,Arizona,,,,,2010
    Not in labor force:,Arizona,,,,,2010
        With health insurance coverage,Arizona,,,,,2010
            With private health insurance,Arizona,,,,,2010
            With public coverage,Arizona,,,,,2010
        No health insurance coverage,Arizona,,,,,2010
    Civilian noninstitutionalized population,Arkansas,,,,,2010
    With health insurance coverage,Arkansas,,,,,2010
        With private health insurance,Arkansas,,,,,2010
        With public coverage,Arkansas,,,,,2010
    No health insurance coverage,Arkansas,,,,,2010
Civilian noninstitutionalized population under 18 years,Arkansas,,,,,2010
    No health insurance coverage,Arkansas,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Arkansas,,,,,2010
    In labor force:,Arkansas,,,,,2010
        Employed:,Arkansas,,,,,2010
            With health insurance coverage,Arkansas,,,,,2010
                With private health insurance,Arkansas,,,,,2010
                With public coverage,Arkansas,,,,,2010
            No health insurance coverage,Arkansas,,,,,2010
        Unemployed:,Arkansas,,,,,2010
            With health insurance coverage,Arkansas,,,,,2010
                With private health insurance,Arkansas,,,,,2010
                With public coverage,Arkansas,,,,,2010
            No health insurance coverage,Arkansas,,,,,2010
    Not in labor force:,Arkansas,,,,,2010
        With health insurance coverage,Arkansas,,,,,2010
            With private health insurance,Arkansas,,,,,2010
            With public coverage,Arkansas,,,,,2010
        No health insurance coverage,Arkansas,,,,,2010
    Civilian noninstitutionalized population,California,,,,,2010
    With health insurance coverage,California,,,,,2010
        With private health insurance,California,,,,,2010
        With public coverage,California,,,,,2010
    No health insurance coverage,California,,,,,2010
Civilian noninstitutionalized population under 18 years,California,,,,,2010
    No health insurance coverage,California,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,California,,,,,2010
    In labor force:,California,,,,,2010
        Employed:,California,,,,,2010
            With health insurance coverage,California,,,,,2010
                With private health insurance,California,,,,,2010
                With public coverage,California,,,,,2010
            No health insurance coverage,California,,,,,2010
        Unemployed:,California,,,,,2010
            With health insurance coverage,California,,,,,2010
                With private health insurance,California,,,,,2010
                With public coverage,California,,,,,2010
            No health insurance coverage,California,,,,,2010
    Not in labor force:,California,,,,,2010
        With health insurance coverage,California,,,,,2010
            With private health insurance,California,,,,,2010
            With public coverage,California,,,,,2010
        No health insurance coverage,California,,,,,2010
    Civilian noninstitutionalized population,Colorado,,,,,2010
    With health insurance coverage,Colorado,,,,,2010
        With private health insurance,Colorado,,,,,2010
        With public coverage,Colorado,,,,,2010
    No health insurance coverage,Colorado,,,,,2010
Civilian noninstitutionalized population under 18 years,Colorado,,,,,2010
    No health insurance coverage,Colorado,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Colorado,,,,,2010
    In labor force:,Colorado,,,,,2010
        Employed:,Colorado,,,,,2010
            With health insurance coverage,Colorado,,,,,2010
                With private health insurance,Colorado,,,,,2010
                With public coverage,Colorado,,,,,2010
            No health insurance coverage,Colorado,,,,,2010
        Unemployed:,Colorado,,,,,2010
            With health insurance coverage,Colorado,,,,,2010
                With private health insurance,Colorado,,,,,2010
                With public coverage,Colorado,,,,,2010
            No health insurance coverage,Colorado,,,,,2010
    Not in labor force:,Colorado,,,,,2010
        With health insurance coverage,Colorado,,,,,2010
            With private health insurance,Colorado,,,,,2010
            With public coverage,Colorado,,,,,2010
        No health insurance coverage,Colorado,,,,,2010
    Civilian noninstitutionalized population,Connecticut,,,,,2010
    With health insurance coverage,Connecticut,,,,,2010
        With private health insurance,Connecticut,,,,,2010
        With public coverage,Connecticut,,,,,2010
    No health insurance coverage,Connecticut,,,,,2010
Civilian noninstitutionalized population under 18 years,Connecticut,,,,,2010
    No health insurance coverage,Connecticut,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Connecticut,,,,,2010
    In labor force:,Connecticut,,,,,2010
        Employed:,Connecticut,,,,,2010
            With health insurance coverage,Connecticut,,,,,2010
                With private health insurance,Connecticut,,,,,2010
                With public coverage,Connecticut,,,,,2010
            No health insurance coverage,Connecticut,,,,,2010
        Unemployed:,Connecticut,,,,,2010
            With health insurance coverage,Connecticut,,,,,2010
                With private health insurance,Connecticut,,,,,2010
                With public coverage,Connecticut,,,,,2010
            No health insurance coverage,Connecticut,,,,,2010
    Not in labor force:,Connecticut,,,,,2010
        With health insurance coverage,Connecticut,,,,,2010
            With private health insurance,Connecticut,,,,,2010
            With public coverage,Connecticut,,,,,2010
        No health insurance coverage,Connecticut,,,,,2010
    Civilian noninstitutionalized population,Delaware,,,,,2010
    With health insurance coverage,Delaware,,,,,2010
        With private health insurance,Delaware,,,,,2010
        With public coverage,Delaware,,,,,2010
    No health insurance coverage,Delaware,,,,,2010
Civilian noninstitutionalized population under 18 years,Delaware,,,,,2010
    No health insurance coverage,Delaware,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Delaware,,,,,2010
    In labor force:,Delaware,,,,,2010
        Employed:,Delaware,,,,,2010
            With health insurance coverage,Delaware,,,,,2010
                With private health insurance,Delaware,,,,,2010
                With public coverage,Delaware,,,,,2010
            No health insurance coverage,Delaware,,,,,2010
        Unemployed:,Delaware,,,,,2010
            With health insurance coverage,Delaware,,,,,2010
                With private health insurance,Delaware,,,,,2010
                With public coverage,Delaware,,,,,2010
            No health insurance coverage,Delaware,,,,,2010
    Not in labor force:,Delaware,,,,,2010
        With health insurance coverage,Delaware,,,,,2010
            With private health insurance,Delaware,,,,,2010
            With public coverage,Delaware,,,,,2010
        No health insurance coverage,Delaware,,,,,2010
    Civilian noninstitutionalized population,District of Columbia,,,,,2010
    With health insurance coverage,District of Columbia,,,,,2010
        With private health insurance,District of Columbia,,,,,2010
        With public coverage,District of Columbia,,,,,2010
    No health insurance coverage,District of Columbia,,,,,2010
Civilian noninstitutionalized population under 18 years,District of Columbia,,,,,2010
    No health insurance coverage,District of Columbia,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,District of Columbia,,,,,2010
    In labor force:,District of Columbia,,,,,2010
        Employed:,District of Columbia,,,,,2010
            With health insurance coverage,District of Columbia,,,,,2010
                With private health insurance,District of Columbia,,,,,2010
                With public coverage,District of Columbia,,,,,2010
            No health insurance coverage,District of Columbia,,,,,2010
        Unemployed:,District of Columbia,,,,,2010
            With health insurance coverage,District of Columbia,,,,,2010
                With private health insurance,District of Columbia,,,,,2010
                With public coverage,District of Columbia,,,,,2010
            No health insurance coverage,District of Columbia,,,,,2010
    Not in labor force:,District of Columbia,,,,,2010
        With health insurance coverage,District of Columbia,,,,,2010
            With private health insurance,District of Columbia,,,,,2010
            With public coverage,District of Columbia,,,,,2010
        No health insurance coverage,District of Columbia,,,,,2010
    Civilian noninstitutionalized population,Florida,,,,,2010
    With health insurance coverage,Florida,,,,,2010
        With private health insurance,Florida,,,,,2010
        With public coverage,Florida,,,,,2010
    No health insurance coverage,Florida,,,,,2010
Civilian noninstitutionalized population under 18 years,Florida,,,,,2010
    No health insurance coverage,Florida,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Florida,,,,,2010
    In labor force:,Florida,,,,,2010
        Employed:,Florida,,,,,2010
            With health insurance coverage,Florida,,,,,2010
                With private health insurance,Florida,,,,,2010
                With public coverage,Florida,,,,,2010
            No health insurance coverage,Florida,,,,,2010
        Unemployed:,Florida,,,,,2010
            With health insurance coverage,Florida,,,,,2010
                With private health insurance,Florida,,,,,2010
                With public coverage,Florida,,,,,2010
            No health insurance coverage,Florida,,,,,2010
    Not in labor force:,Florida,,,,,2010
        With health insurance coverage,Florida,,,,,2010
            With private health insurance,Florida,,,,,2010
            With public coverage,Florida,,,,,2010
        No health insurance coverage,Florida,,,,,2010
    Civilian noninstitutionalized population,Georgia,,,,,2010
    With health insurance coverage,Georgia,,,,,2010
        With private health insurance,Georgia,,,,,2010
        With public coverage,Georgia,,,,,2010
    No health insurance coverage,Georgia,,,,,2010
Civilian noninstitutionalized population under 18 years,Georgia,,,,,2010
    No health insurance coverage,Georgia,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Georgia,,,,,2010
    In labor force:,Georgia,,,,,2010
        Employed:,Georgia,,,,,2010
            With health insurance coverage,Georgia,,,,,2010
                With private health insurance,Georgia,,,,,2010
                With public coverage,Georgia,,,,,2010
            No health insurance coverage,Georgia,,,,,2010
        Unemployed:,Georgia,,,,,2010
            With health insurance coverage,Georgia,,,,,2010
                With private health insurance,Georgia,,,,,2010
                With public coverage,Georgia,,,,,2010
            No health insurance coverage,Georgia,,,,,2010
    Not in labor force:,Georgia,,,,,2010
        With health insurance coverage,Georgia,,,,,2010
            With private health insurance,Georgia,,,,,2010
            With public coverage,Georgia,,,,,2010
        No health insurance coverage,Georgia,,,,,2010
    Civilian noninstitutionalized population,Hawaii,,,,,2010
    With health insurance coverage,Hawaii,,,,,2010
        With private health insurance,Hawaii,,,,,2010
        With public coverage,Hawaii,,,,,2010
    No health insurance coverage,Hawaii,,,,,2010
Civilian noninstitutionalized population under 18 years,Hawaii,,,,,2010
    No health insurance coverage,Hawaii,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Hawaii,,,,,2010
    In labor force:,Hawaii,,,,,2010
        Employed:,Hawaii,,,,,2010
            With health insurance coverage,Hawaii,,,,,2010
                With private health insurance,Hawaii,,,,,2010
                With public coverage,Hawaii,,,,,2010
            No health insurance coverage,Hawaii,,,,,2010
        Unemployed:,Hawaii,,,,,2010
            With health insurance coverage,Hawaii,,,,,2010
                With private health insurance,Hawaii,,,,,2010
                With public coverage,Hawaii,,,,,2010
            No health insurance coverage,Hawaii,,,,,2010
    Not in labor force:,Hawaii,,,,,2010
        With health insurance coverage,Hawaii,,,,,2010
            With private health insurance,Hawaii,,,,,2010
            With public coverage,Hawaii,,,,,2010
        No health insurance coverage,Hawaii,,,,,2010
    Civilian noninstitutionalized population,Idaho,,,,,2010
    With health insurance coverage,Idaho,,,,,2010
        With private health insurance,Idaho,,,,,2010
        With public coverage,Idaho,,,,,2010
    No health insurance coverage,Idaho,,,,,2010
Civilian noninstitutionalized population under 18 years,Idaho,,,,,2010
    No health insurance coverage,Idaho,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Idaho,,,,,2010
    In labor force:,Idaho,,,,,2010
        Employed:,Idaho,,,,,2010
            With health insurance coverage,Idaho,,,,,2010
                With private health insurance,Idaho,,,,,2010
                With public coverage,Idaho,,,,,2010
            No health insurance coverage,Idaho,,,,,2010
        Unemployed:,Idaho,,,,,2010
            With health insurance coverage,Idaho,,,,,2010
                With private health insurance,Idaho,,,,,2010
                With public coverage,Idaho,,,,,2010
            No health insurance coverage,Idaho,,,,,2010
    Not in labor force:,Idaho,,,,,2010
        With health insurance coverage,Idaho,,,,,2010
            With private health insurance,Idaho,,,,,2010
            With public coverage,Idaho,,,,,2010
        No health insurance coverage,Idaho,,,,,2010
    Civilian noninstitutionalized population,Illinois,,,,,2010
    With health insurance coverage,Illinois,,,,,2010
        With private health insurance,Illinois,,,,,2010
        With public coverage,Illinois,,,,,2010
    No health insurance coverage,Illinois,,,,,2010
Civilian noninstitutionalized population under 18 years,Illinois,,,,,2010
    No health insurance coverage,Illinois,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Illinois,,,,,2010
    In labor force:,Illinois,,,,,2010
        Employed:,Illinois,,,,,2010
            With health insurance coverage,Illinois,,,,,2010
                With private health insurance,Illinois,,,,,2010
                With public coverage,Illinois,,,,,2010
            No health insurance coverage,Illinois,,,,,2010
        Unemployed:,Illinois,,,,,2010
            With health insurance coverage,Illinois,,,,,2010
                With private health insurance,Illinois,,,,,2010
                With public coverage,Illinois,,,,,2010
            No health insurance coverage,Illinois,,,,,2010
    Not in labor force:,Illinois,,,,,2010
        With health insurance coverage,Illinois,,,,,2010
            With private health insurance,Illinois,,,,,2010
            With public coverage,Illinois,,,,,2010
        No health insurance coverage,Illinois,,,,,2010
    Civilian noninstitutionalized population,Indiana,,,,,2010
    With health insurance coverage,Indiana,,,,,2010
        With private health insurance,Indiana,,,,,2010
        With public coverage,Indiana,,,,,2010
    No health insurance coverage,Indiana,,,,,2010
Civilian noninstitutionalized population under 18 years,Indiana,,,,,2010
    No health insurance coverage,Indiana,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Indiana,,,,,2010
    In labor force:,Indiana,,,,,2010
        Employed:,Indiana,,,,,2010
            With health insurance coverage,Indiana,,,,,2010
                With private health insurance,Indiana,,,,,2010
                With public coverage,Indiana,,,,,2010
            No health insurance coverage,Indiana,,,,,2010
        Unemployed:,Indiana,,,,,2010
            With health insurance coverage,Indiana,,,,,2010
                With private health insurance,Indiana,,,,,2010
                With public coverage,Indiana,,,,,2010
            No health insurance coverage,Indiana,,,,,2010
    Not in labor force:,Indiana,,,,,2010
        With health insurance coverage,Indiana,,,,,2010
            With private health insurance,Indiana,,,,,2010
            With public coverage,Indiana,,,,,2010
        No health insurance coverage,Indiana,,,,,2010
    Civilian noninstitutionalized population,Iowa,,,,,2010
    With health insurance coverage,Iowa,,,,,2010
        With private health insurance,Iowa,,,,,2010
        With public coverage,Iowa,,,,,2010
    No health insurance coverage,Iowa,,,,,2010
Civilian noninstitutionalized population under 18 years,Iowa,,,,,2010
    No health insurance coverage,Iowa,,,,,2010
Civilian noninstitutionalized population 18 to 64 years,Iowa,,,,,2010
    In labor force:,Iowa,,,,,2010
        Employed:,Iowa,,,,,2010
            With health insurance coverage,Iowa,,,,,2010
                With private health insurance,Iowa,,,,,2010
                With public coverage,Iowa,,,,,2010
            No health insurance coverage,Iowa,,,,,2010
        Unemployed:,Iowa,,,,,2010
            With health insurance coverage,Iowa,,,,,2010
                With private health insurance,Iowa,,,,,2010
                With public coverage,Iowa,,,,,2010
            No health insurance coverage,Iowa,,,,,2010
    Not in labor force:,Iowa,,,,,2010
        With health insurance coverage,Iowa,,,,,2010
            With private health insurance,Iowa,,,,,2010
            With public coverage,Iowa,,,,,2010
        No health insurance coverage,Iowa,,,,,2010
