label,state,estimate,moe,percent,percent moe,year
    Total households,Alabama,1821210.0,5620.0,100.0,,2010
"Less than $10,000",Alabama,186689.0,2960.0,10.3,0.2,2010
"$10,000 to $14,999",Alabama,130766.0,2430.0,7.2,0.1,2010
"$15,000 to $24,999",Alabama,242846.0,3336.0,13.3,0.2,2010
"$25,000 to $34,999",Alabama,213143.0,3101.0,11.7,0.2,2010
"$35,000 to $49,999",Alabama,268333.0,2884.0,14.7,0.2,2010
"$50,000 to $74,999",Alabama,321908.0,3206.0,17.7,0.2,2010
"$75,000 to $99,999",Alabama,192900.0,2725.0,10.6,0.1,2010
"$100,000 to $149,999",Alabama,170962.0,2293.0,9.4,0.1,2010
"$150,000 to $199,999",Alabama,51342.0,1435.0,2.8,0.1,2010
"$200,000 or more",Alabama,42321.0,1379.0,2.3,0.1,2010
    Median household income (dollars),Alabama,42081.0,183.0,,,2010
    Mean household income (dollars),Alabama,57655.0,324.0,,,2010
    With earnings,Alabama,1375312.0,5483.0,75.5,0.2,2010
        Mean earnings (dollars),Alabama,59429.0,337.0,,,2010
    With Social Security,Alabama,581286.0,3317.0,31.9,0.2,2010
        Mean Social Security income (dollars),Alabama,14708.0,63.0,,,2010
    With retirement income,Alabama,360801.0,3015.0,19.8,0.2,2010
        Mean retirement income (dollars),Alabama,19484.0,277.0,,,2010
    With Supplemental Security Income,Alabama,101261.0,1718.0,5.6,0.1,2010
        Mean Supplemental Security Income (dollars),Alabama,7380.0,83.0,,,2010
    With cash public assistance income,Alabama,27259.0,1201.0,1.5,0.1,2010
        Mean cash public assistance income (dollars),Alabama,2462.0,114.0,,,2010
With Food Stamp/SNAP benefits in the past 12 months,Alabama,206852.0,2794.0,11.4,0.2,2010
    Families,Alabama,1240503.0,5644.0,100.0,,2010
"Less than $10,000",Alabama,77266.0,1753.0,6.2,0.1,2010
"$10,000 to $14,999",Alabama,51661.0,1702.0,4.2,0.1,2010
"$15,000 to $24,999",Alabama,134411.0,2704.0,10.8,0.2,2010
"$25,000 to $34,999",Alabama,135455.0,2384.0,10.9,0.2,2010
"$35,000 to $49,999",Alabama,186628.0,2386.0,15.0,0.2,2010
"$50,000 to $74,999",Alabama,250511.0,2954.0,20.2,0.2,2010
"$75,000 to $99,999",Alabama,166186.0,2748.0,13.4,0.2,2010
"$100,000 to $149,999",Alabama,153299.0,2317.0,12.4,0.2,2010
"$150,000 to $199,999",Alabama,46689.0,1328.0,3.8,0.1,2010
"$200,000 or more",Alabama,38397.0,1280.0,3.1,0.1,2010
    Median family income (dollars),Alabama,52863.0,342.0,,,2010
    Mean family income (dollars),Alabama,68275.0,470.0,,,2010
    Per capita income (dollars),Alabama,22984.0,139.0,,,2010
    Nonfamily households,Alabama,580707.0,3853.0,100.0,,2010
    Median nonfamily income (dollars),Alabama,22933.0,259.0,,,2010
    Mean nonfamily income (dollars),Alabama,33317.0,405.0,,,2010
    Median earnings for workers (dollars),Alabama,25994.0,118.0,,,2010
"    Median earnings for male full-time, year-round workers (dollars)",Alabama,42132.0,230.0,,,2010
"    Median earnings for female full-time, year-round workers (dollars)",Alabama,31004.0,161.0,,,2010
    Total households,Alaska,248248.0,1590.0,100.0,,2010
"Less than $10,000",Alaska,9768.0,661.0,3.9,0.3,2010
"$10,000 to $14,999",Alaska,9499.0,601.0,3.8,0.2,2010
"$15,000 to $24,999",Alaska,18795.0,899.0,7.6,0.4,2010
"$25,000 to $34,999",Alaska,22086.0,868.0,8.9,0.4,2010
"$35,000 to $49,999",Alaska,31304.0,1076.0,12.6,0.4,2010
"$50,000 to $74,999",Alaska,47498.0,1237.0,19.1,0.5,2010
"$75,000 to $99,999",Alaska,37780.0,1087.0,15.2,0.4,2010
"$100,000 to $149,999",Alaska,44627.0,1233.0,18.0,0.5,2010
