label,state,estimate,moe,percent,percent moe,year
Civilian employed population 16 years and over,Alabama,2036867.0,5904.0,100.0,,2010
"    Management, business, science, and arts occupations",Alabama,636382.0,5590.0,31.2,0.3,2010
    Service occupations,Alabama,321733.0,4276.0,15.8,0.2,2010
    Sales and office occupations,Alabama,515875.0,4481.0,25.3,0.2,2010
"    Natural resources, construction, and maintenance occupations",Alabama,234116.0,2768.0,11.5,0.1,2010
"    Production, transportation, and material moving occupations",Alabama,328761.0,3846.0,16.1,0.2,2010
Civilian employed population 16 years and over,Alaska,332126.0,2150.0,100.0,,2010
"    Management, business, science, and arts occupations",Alaska,116527.0,1685.0,35.1,0.5,2010
    Service occupations,Alaska,55566.0,1484.0,16.7,0.4,2010
    Sales and office occupations,Alaska,79722.0,1927.0,24.0,0.5,2010
"    Natural resources, construction, and maintenance occupations",Alaska,42278.0,1540.0,12.7,0.4,2010
"    Production, transportation, and material moving occupations",Alaska,38033.0,1470.0,11.5,0.4,2010
Civilian employed population 16 years and over,Arizona,2747475.0,7324.0,100.0,,2010
"    Management, business, science, and arts occupations",Arizona,948700.0,7134.0,34.5,0.2,2010
    Service occupations,Arizona,499205.0,5385.0,18.2,0.2,2010
    Sales and office occupations,Arizona,741757.0,5482.0,27.0,0.2,2010
"    Natural resources, construction, and maintenance occupations",Arizona,297558.0,4048.0,10.8,0.1,2010
"    Production, transportation, and material moving occupations",Arizona,260255.0,3714.0,9.5,0.1,2010
Civilian employed population 16 years and over,Arkansas,1254140.0,4879.0,100.0,,2010
"    Management, business, science, and arts occupations",Arkansas,375946.0,4451.0,30.0,0.3,2010
    Service occupations,Arkansas,206913.0,3637.0,16.5,0.3,2010
    Sales and office occupations,Arkansas,310743.0,3849.0,24.8,0.3,2010
"    Natural resources, construction, and maintenance occupations",Arkansas,143245.0,2897.0,11.4,0.2,2010
"    Production, transportation, and material moving occupations",Arkansas,217293.0,3125.0,17.3,0.2,2010
Civilian employed population 16 years and over,California,16632466.0,19046.0,100.0,,2010
"    Management, business, science, and arts occupations",California,6022109.0,26967.0,36.2,0.1,2010
    Service occupations,California,2897320.0,16034.0,17.4,0.1,2010
    Sales and office occupations,California,4221411.0,14901.0,25.4,0.1,2010
"    Natural resources, construction, and maintenance occupations",California,1651688.0,11003.0,9.9,0.1,2010
"    Production, transportation, and material moving occupations",California,1839938.0,10817.0,11.1,0.1,2010
