label,state,estimate,moe,percent,percent moe,year
    All families,Alabama,,,13.0,0.2,2010
With related children under 18 years,Alabama,,,20.5,0.3,2010
With related children under 5 years only,Alabama,,,22.6,0.9,2010
    Married couple families,Alabama,,,5.6,0.2,2010
With related children under 18 years,Alabama,,,8.0,0.3,2010
With related children under 5 years only,Alabama,,,8.4,0.9,2010
"    Families with female householder, no husband present",Alabama,,,36.3,0.6,2010
With related children under 18 years,Alabama,,,45.9,0.8,2010
With related children under 5 years only,Alabama,,,53.1,1.9,2010
    All people,Alabama,,,17.1,0.2,2010
Under 18 years,Alabama,,,24.2,0.4,2010
Related children under 18 years,Alabama,,,24.0,0.4,2010
Related children under 5 years,Alabama,,,28.2,0.7,2010
Related children 5 to 17 years,Alabama,,,22.4,0.5,2010
18 years and over,Alabama,,,14.8,0.2,2010
18 to 64 years,Alabama,,,15.5,0.2,2010
65 years and over,Alabama,,,11.6,0.2,2010
    People in families,Alabama,,,14.5,0.2,2010
Unrelated individuals 15 years and over,Alabama,,,30.5,0.4,2010
    All families,Alaska,,,6.6,0.4,2010
With related children under 18 years,Alaska,,,10.6,0.6,2010
With related children under 5 years only,Alaska,,,14.0,1.8,2010
    Married couple families,Alaska,,,2.6,0.2,2010
With related children under 18 years,Alaska,,,4.0,0.4,2010
With related children under 5 years only,Alaska,,,4.2,1.2,2010
"    Families with female householder, no husband present",Alaska,,,22.6,1.6,2010
With related children under 18 years,Alaska,,,28.1,1.9,2010
With related children under 5 years only,Alaska,,,41.4,6.0,2010
    All people,Alaska,,,9.5,0.3,2010
Under 18 years,Alaska,,,13.0,0.8,2010
Related children under 18 years,Alaska,,,12.5,0.7,2010
Related children under 5 years,Alaska,,,16.5,1.2,2010
Related children 5 to 17 years,Alaska,,,10.9,0.7,2010
18 years and over,Alaska,,,8.2,0.3,2010
18 to 64 years,Alaska,,,8.6,0.3,2010
65 years and over,Alaska,,,4.5,0.7,2010
    People in families,Alaska,,,7.3,0.4,2010
Unrelated individuals 15 years and over,Alaska,,,18.4,0.8,2010
    All families,Arizona,,,10.9,0.2,2010
With related children under 18 years,Arizona,,,17.2,0.3,2010
With related children under 5 years only,Arizona,,,17.7,0.9,2010
    Married couple families,Arizona,,,6.2,0.2,2010
With related children under 18 years,Arizona,,,9.6,0.4,2010
With related children under 5 years only,Arizona,,,8.3,0.8,2010
"    Families with female householder, no husband present",Arizona,,,28.6,0.6,2010
With related children under 18 years,Arizona,,,35.9,0.8,2010
With related children under 5 years only,Arizona,,,43.5,1.9,2010
    All people,Arizona,,,15.3,0.2,2010
Under 18 years,Arizona,,,21.6,0.4,2010
Related children under 18 years,Arizona,,,21.2,0.4,2010
Related children under 5 years,Arizona,,,24.6,0.7,2010
Related children 5 to 17 years,Arizona,,,19.8,0.4,2010
18 years and over,Arizona,,,13.1,0.2,2010
18 to 64 years,Arizona,,,14.2,0.2,2010
65 years and over,Arizona,,,8.1,0.2,2010
    People in families,Arizona,,,13.2,0.2,2010
Unrelated individuals 15 years and over,Arizona,,,24.1,0.4,2010
    All families,Arkansas,,,13.5,0.3,2010
With related children under 18 years,Arkansas,,,21.9,0.5,2010
With related children under 5 years only,Arkansas,,,25.2,1.1,2010
    Married couple families,Arkansas,,,6.6,0.3,2010
With related children under 18 years,Arkansas,,,10.0,0.5,2010
With related children under 5 years only,Arkansas,,,10.7,1.0,2010
"    Families with female householder, no husband present",Arkansas,,,38.1,0.9,2010
With related children under 18 years,Arkansas,,,47.3,1.1,2010
With related children under 5 years only,Arkansas,,,55.8,2.7,2010
    All people,Arkansas,,,18.0,0.3,2010
Under 18 years,Arkansas,,,26.3,0.7,2010
Related children under 18 years,Arkansas,,,25.9,0.7,2010
Related children under 5 years,Arkansas,,,30.9,1.1,2010
Related children 5 to 17 years,Arkansas,,,23.9,0.6,2010
18 years and over,Arkansas,,,15.3,0.3,2010
18 to 64 years,Arkansas,,,16.1,0.3,2010
65 years and over,Arkansas,,,11.6,0.4,2010
    People in families,Arkansas,,,15.4,0.4,2010
Unrelated individuals 15 years and over,Arkansas,,,30.7,0.5,2010
    All families,California,,,10.2,0.1,2010
With related children under 18 years,California,,,15.1,0.2,2010
With related children under 5 years only,California,,,13.7,0.3,2010
    Married couple families,California,,,6.1,0.1,2010
With related children under 18 years,California,,,8.7,0.1,2010
With related children under 5 years only,California,,,6.4,0.2,2010
"    Families with female householder, no husband present",California,,,24.6,0.2,2010
With related children under 18 years,California,,,32.8,0.4,2010
With related children under 5 years only,California,,,37.3,0.8,2010
    All people,California,,,13.7,0.1,2010
Under 18 years,California,,,19.1,0.2,2010
Related children under 18 years,California,,,18.7,0.2,2010
Related children under 5 years,California,,,20.6,0.3,2010
Related children 5 to 17 years,California,,,18.0,0.2,2010
18 years and over,California,,,11.9,0.1,2010
18 to 64 years,California,,,12.4,0.1,2010
65 years and over,California,,,8.7,0.1,2010
    People in families,California,,,11.6,0.1,2010
Unrelated individuals 15 years and over,California,,,23.7,0.1,2010
    All families,Colorado,,,8.6,0.2,2010
With related children under 18 years,Colorado,,,13.5,0.3,2010
With related children under 5 years only,Colorado,,,15.5,0.7,2010
    Married couple families,Colorado,,,4.6,0.1,2010
With related children under 18 years,Colorado,,,6.7,0.3,2010
With related children under 5 years only,Colorado,,,6.9,0.6,2010
"    Families with female householder, no husband present",Colorado,,,27.0,0.8,2010
With related children under 18 years,Colorado,,,34.8,1.0,2010
With related children under 5 years only,Colorado,,,45.4,2.2,2010
    All people,Colorado,,,12.2,0.2,2010
Under 18 years,Colorado,,,16.2,0.5,2010
Related children under 18 years,Colorado,,,15.8,0.4,2010
Related children under 5 years,Colorado,,,19.5,0.7,2010
Related children 5 to 17 years,Colorado,,,14.4,0.5,2010
18 years and over,Colorado,,,10.9,0.2,2010
18 to 64 years,Colorado,,,11.3,0.2,2010
65 years and over,Colorado,,,8.4,0.3,2010
    People in families,Colorado,,,9.7,0.2,2010
Unrelated individuals 15 years and over,Colorado,,,22.1,0.3,2010
    All families,Connecticut,,,6.5,0.2,2010
With related children under 18 years,Connecticut,,,10.4,0.4,2010
With related children under 5 years only,Connecticut,,,11.9,0.9,2010
    Married couple families,Connecticut,,,2.3,0.1,2010
With related children under 18 years,Connecticut,,,3.0,0.2,2010
With related children under 5 years only,Connecticut,,,3.1,0.5,2010
"    Families with female householder, no husband present",Connecticut,,,22.4,0.8,2010
With related children under 18 years,Connecticut,,,30.3,1.2,2010
With related children under 5 years only,Connecticut,,,40.5,3.3,2010
    All people,Connecticut,,,9.2,0.2,2010
Under 18 years,Connecticut,,,12.2,0.4,2010
Related children under 18 years,Connecticut,,,11.9,0.4,2010
Related children under 5 years,Connecticut,,,14.7,0.7,2010
Related children 5 to 17 years,Connecticut,,,10.9,0.4,2010
18 years and over,Connecticut,,,8.2,0.2,2010
18 to 64 years,Connecticut,,,8.6,0.2,2010
65 years and over,Connecticut,,,6.6,0.3,2010
    People in families,Connecticut,,,6.9,0.2,2010
Unrelated individuals 15 years and over,Connecticut,,,19.6,0.4,2010
    All families,Delaware,,,7.4,0.4,2010
With related children under 18 years,Delaware,,,12.6,0.8,2010
With related children under 5 years only,Delaware,,,13.8,2.1,2010
    Married couple families,Delaware,,,2.8,0.3,2010
With related children under 18 years,Delaware,,,4.4,0.6,2010
With related children under 5 years only,Delaware,,,2.9,1.1,2010
"    Families with female householder, no husband present",Delaware,,,23.0,1.5,2010
With related children under 18 years,Delaware,,,30.3,2.1,2010
With related children under 5 years only,Delaware,,,42.0,5.9,2010
    All people,Delaware,,,11.0,0.5,2010
Under 18 years,Delaware,,,16.3,1.0,2010
Related children under 18 years,Delaware,,,16.0,1.0,2010
Related children under 5 years,Delaware,,,18.9,1.8,2010
Related children 5 to 17 years,Delaware,,,14.9,0.9,2010
18 years and over,Delaware,,,9.3,0.3,2010
18 to 64 years,Delaware,,,9.8,0.4,2010
65 years and over,Delaware,,,7.3,0.5,2010
    People in families,Delaware,,,8.6,0.5,2010
Unrelated individuals 15 years and over,Delaware,,,21.8,0.7,2010
    All families,District of Columbia,,,14.5,0.7,2010
With related children under 18 years,District of Columbia,,,23.3,1.1,2010
With related children under 5 years only,District of Columbia,,,13.8,2.3,2010
    Married couple families,District of Columbia,,,3.5,0.5,2010
With related children under 18 years,District of Columbia,,,4.2,0.9,2010
With related children under 5 years only,District of Columbia,,,2.7,1.5,2010
"    Families with female householder, no husband present",District of Columbia,,,29.3,1.5,2010
With related children under 18 years,District of Columbia,,,38.1,1.9,2010
With related children under 5 years only,District of Columbia,,,34.4,5.9,2010
    All people,District of Columbia,,,18.5,0.6,2010
Under 18 years,District of Columbia,,,29.6,1.6,2010
Related children under 18 years,District of Columbia,,,29.2,1.5,2010
Related children under 5 years,District of Columbia,,,26.1,2.3,2010
Related children 5 to 17 years,District of Columbia,,,30.6,1.7,2010
18 years and over,District of Columbia,,,16.0,0.5,2010
18 to 64 years,District of Columbia,,,16.3,0.6,2010
65 years and over,District of Columbia,,,14.1,1.0,2010
    People in families,District of Columbia,,,16.8,0.8,2010
Unrelated individuals 15 years and over,District of Columbia,,,21.2,0.7,2010
    All families,Florida,,,9.9,0.1,2010
With related children under 18 years,Florida,,,15.8,0.3,2010
With related children under 5 years only,Florida,,,16.8,0.5,2010
    Married couple families,Florida,,,5.3,0.1,2010
With related children under 18 years,Florida,,,7.3,0.2,2010
With related children under 5 years only,Florida,,,6.8,0.5,2010
"    Families with female householder, no husband present",Florida,,,25.9,0.3,2010
With related children under 18 years,Florida,,,33.9,0.5,2010
With related children under 5 years only,Florida,,,40.1,1.2,2010
    All people,Florida,,,13.8,0.2,2010
Under 18 years,Florida,,,19.5,0.3,2010
Related children under 18 years,Florida,,,19.1,0.3,2010
Related children under 5 years,Florida,,,22.5,0.5,2010
Related children 5 to 17 years,Florida,,,17.8,0.3,2010
18 years and over,Florida,,,12.2,0.1,2010
18 to 64 years,Florida,,,12.9,0.1,2010
65 years and over,Florida,,,9.9,0.2,2010
    People in families,Florida,,,11.2,0.2,2010
Unrelated individuals 15 years and over,Florida,,,24.5,0.2,2010
    All families,Georgia,,,11.9,0.2,2010
With related children under 18 years,Georgia,,,17.5,0.3,2010
With related children under 5 years only,Georgia,,,18.5,0.7,2010
    Married couple families,Georgia,,,5.5,0.1,2010
With related children under 18 years,Georgia,,,7.3,0.2,2010
With related children under 5 years only,Georgia,,,7.2,0.5,2010
"    Families with female householder, no husband present",Georgia,,,31.3,0.4,2010
With related children under 18 years,Georgia,,,38.5,0.6,2010
With related children under 5 years only,Georgia,,,46.1,1.8,2010
    All people,Georgia,,,15.7,0.2,2010
Under 18 years,Georgia,,,21.5,0.3,2010
Related children under 18 years,Georgia,,,21.2,0.3,2010
Related children under 5 years,Georgia,,,25.1,0.5,2010
Related children 5 to 17 years,Georgia,,,19.7,0.3,2010
18 years and over,Georgia,,,13.6,0.1,2010
18 to 64 years,Georgia,,,13.9,0.2,2010
65 years and over,Georgia,,,11.8,0.2,2010
    People in families,Georgia,,,13.5,0.2,2010
Unrelated individuals 15 years and over,Georgia,,,26.8,0.3,2010
    All families,Hawaii,,,6.7,0.3,2010
With related children under 18 years,Hawaii,,,10.0,0.5,2010
With related children under 5 years only,Hawaii,,,10.6,1.5,2010
    Married couple families,Hawaii,,,3.7,0.3,2010
With related children under 18 years,Hawaii,,,4.6,0.5,2010
With related children under 5 years only,Hawaii,,,4.7,1.1,2010
"    Families with female householder, no husband present",Hawaii,,,18.6,1.2,2010
With related children under 18 years,Hawaii,,,26.9,1.8,2010
With related children under 5 years only,Hawaii,,,31.1,5.0,2010
    All people,Hawaii,,,9.6,0.3,2010
Under 18 years,Hawaii,,,12.3,0.7,2010
Related children under 18 years,Hawaii,,,11.8,0.7,2010
Related children under 5 years,Hawaii,,,13.5,1.2,2010
Related children 5 to 17 years,Hawaii,,,11.1,0.7,2010
18 years and over,Hawaii,,,8.8,0.3,2010
18 to 64 years,Hawaii,,,9.1,0.3,2010
65 years and over,Hawaii,,,7.5,0.5,2010
    People in families,Hawaii,,,6.8,0.3,2010
Unrelated individuals 15 years and over,Hawaii,,,23.1,0.9,2010
    All families,Idaho,,,9.7,0.3,2010
With related children under 18 years,Idaho,,,14.7,0.6,2010
With related children under 5 years only,Idaho,,,18.5,1.4,2010
    Married couple families,Idaho,,,5.9,0.2,2010
With related children under 18 years,Idaho,,,8.4,0.4,2010
With related children under 5 years only,Idaho,,,10.3,1.2,2010
"    Families with female householder, no husband present",Idaho,,,31.5,1.8,2010
With related children under 18 years,Idaho,,,38.1,2.0,2010
With related children under 5 years only,Idaho,,,50.7,4.4,2010
    All people,Idaho,,,13.6,0.3,2010
Under 18 years,Idaho,,,17.0,0.6,2010
Related children under 18 years,Idaho,,,16.5,0.6,2010
Related children under 5 years,Idaho,,,20.8,1.1,2010
Related children 5 to 17 years,Idaho,,,14.8,0.6,2010
18 years and over,Idaho,,,12.3,0.3,2010
18 to 64 years,Idaho,,,13.1,0.3,2010
65 years and over,Idaho,,,8.0,0.5,2010
    People in families,Idaho,,,10.8,0.3,2010
Unrelated individuals 15 years and over,Idaho,,,27.5,0.7,2010
    All families,Illinois,,,9.2,0.1,2010
With related children under 18 years,Illinois,,,14.4,0.2,2010
With related children under 5 years only,Illinois,,,15.0,0.5,2010
    Married couple families,Illinois,,,4.1,0.1,2010
With related children under 18 years,Illinois,,,5.8,0.2,2010
With related children under 5 years only,Illinois,,,4.9,0.3,2010
"    Families with female householder, no husband present",Illinois,,,28.0,0.4,2010
With related children under 18 years,Illinois,,,37.0,0.6,2010
With related children under 5 years only,Illinois,,,44.8,1.3,2010
    All people,Illinois,,,12.6,0.2,2010
Under 18 years,Illinois,,,17.7,0.3,2010
Related children under 18 years,Illinois,,,17.4,0.3,2010
Related children under 5 years,Illinois,,,20.1,0.5,2010
Related children 5 to 17 years,Illinois,,,16.4,0.3,2010
18 years and over,Illinois,,,11.0,0.1,2010
18 to 64 years,Illinois,,,11.4,0.1,2010
65 years and over,Illinois,,,8.7,0.2,2010
    People in families,Illinois,,,10.4,0.2,2010
Unrelated individuals 15 years and over,Illinois,,,23.0,0.2,2010
    All families,Indiana,,,9.6,0.2,2010
With related children under 18 years,Indiana,,,15.7,0.3,2010
With related children under 5 years only,Indiana,,,19.2,0.9,2010
    Married couple families,Indiana,,,4.2,0.1,2010
With related children under 18 years,Indiana,,,6.2,0.2,2010
With related children under 5 years only,Indiana,,,6.3,0.5,2010
"    Families with female householder, no husband present",Indiana,,,30.9,0.7,2010
With related children under 18 years,Indiana,,,39.2,0.8,2010
With related children under 5 years only,Indiana,,,49.8,2.0,2010
    All people,Indiana,,,13.5,0.2,2010
Under 18 years,Indiana,,,18.9,0.4,2010
Related children under 18 years,Indiana,,,18.5,0.4,2010
Related children under 5 years,Indiana,,,23.1,0.7,2010
Related children 5 to 17 years,Indiana,,,16.8,0.4,2010
18 years and over,Indiana,,,11.7,0.1,2010
18 to 64 years,Indiana,,,12.5,0.2,2010
65 years and over,Indiana,,,7.7,0.2,2010
    People in families,Indiana,,,10.8,0.2,2010
Unrelated individuals 15 years and over,Indiana,,,25.9,0.3,2010
    All families,Iowa,,,7.4,0.2,2010
With related children under 18 years,Iowa,,,12.7,0.4,2010
With related children under 5 years only,Iowa,,,16.9,1.1,2010
    Married couple families,Iowa,,,3.3,0.1,2010
With related children under 18 years,Iowa,,,4.7,0.2,2010
