YearMonth,Ticker,MarketCap
2014-12,QSR,7888100000
2015-01,QSR,7815400000
2015-02,QSR,8940000000
2015-03,QSR,7770500000
2015-04,QSR,8250000000
2015-05,QSR,7823100000
2015-06,QSR,7734100000
2015-07,QSR,8752300000
2015-08,QSR,7760400000
2015-09,QSR,7270600000
2015-10,QSR,8129500000
2015-11,QSR,7406800000
2015-12,QSR,8432400000
2016-01,QSR,7579300000
2016-02,QSR,8122300000
2016-03,QSR,9047600000
2016-04,QSR,10059300000
2016-05,QSR,9787200000
2016-06,QSR,9716200000
2016-07,QSR,10383400000
2016-08,QSR,11173900000
2016-09,QSR,10416200000
2016-10,QSR,10405800000
2016-11,QSR,11146700000
2016-12,QSR,11104300000
2017-01,QSR,11409400000
2017-02,QSR,12889000000
2017-03,QSR,13080800000
2017-04,QSR,13241900000
2017-05,QSR,14455200000
2017-06,QSR,14739100000
2017-07,QSR,14081300000
2017-08,QSR,14268400000
2017-09,QSR,15143300000
2017-10,QSR,15432400000
2017-11,QSR,15042400000
2017-12,QSR,14854000000
2018-01,QSR,14688700000
2018-02,QSR,14361600000
2018-03,QSR,13875100000
2018-04,QSR,13553500000
2018-05,QSR,14798300000
2018-06,QSR,14907200000
2018-07,QSR,15924900000
2018-08,QSR,14409100000
2018-09,QSR,14722500000
2018-10,QSR,13886500000
2018-11,QSR,14750900000
2018-12,QSR,13171000000
2019-01,QSR,15759300000
2019-02,QSR,15923900000
2019-03,QSR,16278200000
2019-04,QSR,16498300000
2019-05,QSR,16693600000
2019-06,QSR,17657700000
2019-07,QSR,18905400000
2019-08,QSR,20083400000
2019-09,QSR,21212100000
2019-10,QSR,19509600000
2019-11,QSR,19588000000
2019-12,QSR,18902500000
2020-01,QSR,18224500000
2020-02,QSR,17634100000
2020-03,QSR,16084800000
2020-04,QSR,14687600000
2020-05,QSR,16412100000
2020-06,QSR,16238800000
2020-07,QSR,16372300000
2020-08,QSR,16930300000
2020-09,QSR,16803600000
2020-10,QSR,18087200000
2020-11,QSR,16363400000
2020-12,QSR,17359500000
2021-01,QSR,18090700000
2021-02,QSR,18017800000
2021-03,QSR,19334200000
2021-04,QSR,20356100000
2021-05,QSR,21132000000
2021-06,QSR,21166700000
2021-07,QSR,19619300000
2021-08,QSR,19604700000
2021-09,QSR,19827200000
2021-10,QSR,19210300000
2021-11,QSR,18857700000
2021-12,QSR,17675500000
2022-01,QSR,19118600000
2022-02,QSR,17777900000
2022-03,QSR,25401400000
2022-04,QSR,26519200000
2022-05,QSR,16398100000
2022-06,QSR,23128100000
2022-07,QSR,23313000000
2022-08,QSR,24973500000
2022-09,QSR,26644900000
2022-10,QSR,24115000000
2022-11,QSR,26754700000
2022-12,QSR,30047100000
2023-01,QSR,29715800000
2023-02,QSR,30347700000
2023-03,QSR,28903600000
2023-04,QSR,30327800000
2023-05,QSR,32677200000
2023-06,QSR,34232800000
2023-07,QSR,24178900000
2023-08,QSR,33234300000
2023-09,QSR,31113200000
2023-10,QSR,28601400000
2023-11,QSR,30521100000
2023-12,QSR,32322800000
2024-01,QSR,34072000000
2024-02,QSR,35220900000
2024-03,QSR,34713000000
2024-04,QSR,33286200000
2001-01,ALG,143100000
2001-02,ALG,150400000
2001-03,ALG,138800000
2001-04,ALG,135700000
2001-05,ALG,138300000
2001-06,ALG,138300000
2001-07,ALG,141200000
2001-08,ALG,140700000
2001-09,ALG,125000000
2001-10,ALG,130100000
2001-11,ALG,126700000
2001-12,ALG,138200000
2002-01,ALG,136300000
2002-02,ALG,144700000
2002-03,ALG,157800000
2002-04,ALG,159300000
2002-05,ALG,163100000
2002-06,ALG,145700000
2002-07,ALG,148600000
2002-08,ALG,132100000
2002-09,ALG,120100000
2002-10,ALG,114200000
2002-11,ALG,115600000
2002-12,ALG,119000000
2003-01,ALG,116100000
2003-02,ALG,109300000
2003-03,ALG,113300000
2003-04,ALG,114200000
2003-05,ALG,117300000
2003-06,ALG,118800000
2003-07,ALG,129700000
2003-08,ALG,141100000
2003-09,ALG,138700000
2003-10,ALG,138600000
2003-11,ALG,143300000
2003-12,ALG,148400000
2004-01,ALG,156600000
2004-02,ALG,176700000
2004-03,ALG,169200000
2004-04,ALG,161200000
2004-05,ALG,152200000
2004-06,ALG,154700000
2004-07,ALG,157100000
2004-08,ALG,165300000
2004-09,ALG,182200000
2004-10,ALG,180200000
2004-11,ALG,203500000
2004-12,ALG,264500000
2005-01,ALG,255100000
2005-02,ALG,240700000
2005-03,ALG,241100000
2005-04,ALG,186600000
2005-05,ALG,198800000
2005-06,ALG,182000000
2005-07,ALG,193500000
2005-08,ALG,199300000
2005-09,ALG,193200000
2005-10,ALG,189700000
2005-11,ALG,205700000
2005-12,ALG,199900000
2006-01,ALG,227400000
2006-02,ALG,232600000
2006-03,ALG,214900000
2006-04,ALG,207900000
2006-05,ALG,212000000
2006-06,ALG,205300000
2006-07,ALG,191500000
2006-08,ALG,222100000
2006-09,ALG,222000000
2006-10,ALG,226500000
2006-11,ALG,224900000
2006-12,ALG,229000000
2007-01,ALG,236000000
2007-02,ALG,235200000
2007-03,ALG,226700000
2007-04,ALG,263700000
2007-05,ALG,248000000
2007-06,ALG,246700000
2007-07,ALG,253900000
2007-08,ALG,249700000
2007-09,ALG,240800000
2007-10,ALG,212400000
2007-11,ALG,181200000
2007-12,ALG,177500000
2008-01,ALG,184600000
2008-02,ALG,181600000
2008-03,ALG,208400000
2008-04,ALG,199500000
2008-05,ALG,226800000
2008-06,ALG,202200000
2008-07,ALG,212600000
2008-08,ALG,206100000
2008-09,ALG,169000000
2008-10,ALG,124700000
2008-11,ALG,124900000
2008-12,ALG,148300000
2009-01,ALG,124500000
2009-02,ALG,115300000
2009-03,ALG,106100000
2009-04,ALG,112300000
2009-05,ALG,114900000
2009-06,ALG,101500000
2009-07,ALG,139000000
2009-08,ALG,144200000
2009-09,ALG,159400000
2009-10,ALG,138200000
2009-11,ALG,174700000
2009-12,ALG,202200000
2010-01,ALG,211600000
2010-02,ALG,209200000
2010-03,ALG,235700000
2010-04,ALG,276800000
2010-05,ALG,273300000
2010-06,ALG,256500000
2010-07,ALG,277000000
2010-08,ALG,230200000
2010-09,ALG,264700000
2010-10,ALG,284500000
2010-11,ALG,302500000
2010-12,ALG,330300000
2011-01,ALG,308100000
2011-02,ALG,344800000
2011-03,ALG,326100000
2011-04,ALG,339900000
2011-05,ALG,303000000
2011-06,ALG,282000000
2011-07,ALG,284500000
2011-08,ALG,273100000
2011-09,ALG,247400000
2011-10,ALG,283800000
2011-11,ALG,338300000
2011-12,ALG,320800000
2012-01,ALG,345100000
2012-02,ALG,320200000
2012-03,ALG,358200000
2012-04,ALG,401500000
2012-05,ALG,369200000
2012-06,ALG,374000000
2012-07,ALG,341900000
2012-08,ALG,347400000
2012-09,ALG,403400000
2012-10,ALG,400200000
2012-11,ALG,396300000
2012-12,ALG,391200000
2013-01,ALG,407000000
2013-02,ALG,431000000
2013-03,ALG,461800000
2013-04,ALG,483800000
2013-05,ALG,513100000
2013-06,ALG,492900000
2013-07,ALG,504500000
2013-08,ALG,549200000
2013-09,ALG,590200000
2013-10,ALG,569500000
2013-11,ALG,709200000
2013-12,ALG,732600000
2014-01,ALG,606200000
2014-02,ALG,637600000
2014-03,ALG,658800000
2014-04,ALG,644600000
2014-05,ALG,629100000
2014-06,ALG,656300000
2014-07,ALG,577400000
2014-08,ALG,592200000
2014-09,ALG,462800000
2014-10,ALG,484600000
2014-11,ALG,538700000
2014-12,ALG,545600000
2015-01,ALG,507400000
2015-02,ALG,567800000
2015-03,ALG,714700000
2015-04,ALG,703400000
2015-05,ALG,603100000
2015-06,ALG,620000000
2015-07,ALG,600100000
2015-08,ALG,588100000
2015-09,ALG,532600000
2015-10,ALG,536000000
2015-11,ALG,653200000
2015-12,ALG,591300000
2016-01,ALG,601900000
2016-02,ALG,593100000
2016-03,ALG,635700000
2016-04,ALG,645600000
2016-05,ALG,705100000
2016-06,ALG,755200000
2016-07,ALG,771900000
2016-08,ALG,745300000
2016-09,ALG,755100000
2016-10,ALG,747300000
2016-11,ALG,841100000
2016-12,ALG,876000000
2017-01,ALG,866900000
2017-02,ALG,865400000
2017-03,ALG,876100000
2017-04,ALG,913200000
2017-05,ALG,983300000
2017-06,ALG,1049900000
2017-07,ALG,1081500000
2017-08,ALG,1067000000
2017-09,ALG,1248500000
2017-10,ALG,1227200000
2017-11,ALG,1372000000
2017-12,ALG,1312900000
2018-01,ALG,1331700000
2018-02,ALG,1294800000
2018-03,ALG,1280200000
2018-04,ALG,1275800000
2018-05,ALG,1074600000
2018-06,ALG,1053100000
2018-07,ALG,1090700000
2018-08,ALG,1117600000
2018-09,ALG,1074400000
2018-10,ALG,1005900000
2018-11,ALG,971800000
2018-12,ALG,901800000
2019-01,ALG,1004500000
2019-02,ALG,1127400000
2019-03,ALG,1173300000
2019-04,ALG,1218000000
2019-05,ALG,1115600000
2019-06,ALG,1174400000
2019-07,ALG,1156900000
2019-08,ALG,1349400000
2019-09,ALG,1383000000
2019-10,ALG,1266100000
2019-11,ALG,1357600000
2019-12,ALG,1465200000
2020-01,ALG,1453600000
2020-02,ALG,1510700000
2020-03,ALG,1044200000
2020-04,ALG,1157800000
2020-05,ALG,1225400000
2020-06,ALG,1209800000
2020-07,ALG,1193000000
2020-08,ALG,1314800000
2020-09,ALG,1275900000
2020-10,ALG,1459500000
2020-11,ALG,1596500000
2020-12,ALG,1604900000
2021-01,ALG,1717400000
2021-02,ALG,1815800000
2021-03,ALG,1848600000
2021-04,ALG,1874900000
2021-05,ALG,1838300000
2021-06,ALG,1811100000
2021-07,ALG,1750600000
2021-08,ALG,1848900000
2021-09,ALG,1656300000
2021-10,ALG,1802900000
2021-11,ALG,1695800000
2021-12,ALG,1747600000
2022-01,ALG,1672500000
2022-02,ALG,1660200000
2022-03,ALG,1710300000
2022-04,ALG,1512000000
2022-05,ALG,1406700000
2022-06,ALG,1386600000
2022-07,ALG,1548500000
2022-08,ALG,1641900000
2022-09,ALG,1536700000
2022-10,ALG,1463100000
2022-11,ALG,1851100000
2022-12,ALG,1821500000
2023-01,ALG,1780000000
2023-02,ALG,1920200000
2023-03,ALG,2208100000
2023-04,ALG,2239100000
2023-05,ALG,2162200000
2023-06,ALG,2143000000
2023-07,ALG,2207100000
2023-08,ALG,2171100000
2023-09,ALG,2132000000
2023-10,ALG,2088000000
2023-11,ALG,2172300000
2023-12,ALG,2251500000
2024-01,ALG,2406900000
2024-02,ALG,2615600000
2024-03,ALG,2418500000
2024-04,ALG,2633100000
2001-01,SBUX,9452000000
2001-02,SBUX,9019400000
2001-03,SBUX,8099400000
2001-04,SBUX,7385700000
2001-05,SBUX,7261100000
2001-06,SBUX,8803900000
2001-07,SBUX,6905300000
2001-08,SBUX,6432200000
2001-09,SBUX,5677900000
2001-10,SBUX,6506400000
2001-11,SBUX,6734400000
2001-12,SBUX,7291800000
2002-01,SBUX,9098500000
2002-02,SBUX,8797600000
2002-03,SBUX,8940200000
2002-04,SBUX,8820400000
2002-05,SBUX,9373700000
2002-06,SBUX,9696900000
2002-07,SBUX,7659900000
2002-08,SBUX,7805700000
2002-09,SBUX,8013000000
2002-10,SBUX,9220400000
2002-11,SBUX,8440100000
2002-12,SBUX,7907200000
2003-01,SBUX,8815100000
2003-02,SBUX,9089400000
2003-03,SBUX,10084200000
2003-04,SBUX,9203400000
2003-05,SBUX,9634400000
2003-06,SBUX,9613700000
2003-07,SBUX,10702300000
2003-08,SBUX,11102900000
2003-09,SBUX,11338300000
2003-10,SBUX,12440700000
2003-11,SBUX,12665100000
2003-12,SBUX,13121500000
2004-01,SBUX,14486600000
2004-02,SBUX,14815600000
2004-03,SBUX,15057200000
2004-04,SBUX,15474700000
2004-05,SBUX,16098800000
2004-06,SBUX,17320200000
2004-07,SBUX,18714100000
2004-08,SBUX,17186200000
2004-09,SBUX,18066100000
2004-10,SBUX,21014800000
2004-11,SBUX,22358100000
2004-12,SBUX,25118900000
2005-01,SBUX,21751500000
2005-02,SBUX,20836900000
2005-03,SBUX,20555500000
2005-04,SBUX,19704000000
2005-05,SBUX,21687800000
2005-06,SBUX,20376900000
2005-07,SBUX,20743100000
2005-08,SBUX,18839100000
2005-09,SBUX,19247400000
2005-10,SBUX,21703300000
2005-11,SBUX,23368600000
2005-12,SBUX,23381400000
2006-01,SBUX,24317200000
2006-02,SBUX,27725300000
2006-03,SBUX,28947800000
2006-04,SBUX,28670900000
2006-05,SBUX,27361100000
2006-06,SBUX,29013900000
2006-07,SBUX,26301500000
2006-08,SBUX,23445600000
2006-09,SBUX,25762300000
2006-10,SBUX,29015700000
2006-11,SBUX,26704300000
2006-12,SBUX,26826100000
2007-01,SBUX,26629200000
2007-02,SBUX,23204600000
2007-03,SBUX,23396400000
2007-04,SBUX,22978900000
2007-05,SBUX,21341800000
2007-06,SBUX,19556800000
2007-07,SBUX,19911100000
2007-08,SBUX,20560400000
2007-09,SBUX,19343100000
2007-10,SBUX,19697500000
2007-11,SBUX,17084100000
2007-12,SBUX,14894000000
2008-01,SBUX,13758900000
2008-02,SBUX,13035800000
2008-03,SBUX,12787300000
2008-04,SBUX,11859300000
2008-05,SBUX,13291400000
2008-06,SBUX,11542100000
2008-07,SBUX,10772200000
2008-08,SBUX,11410100000
2008-09,SBUX,10936900000
2008-10,SBUX,9657100000
2008-11,SBUX,6548400000
2008-12,SBUX,6949300000
2009-01,SBUX,6934600000
2009-02,SBUX,6721600000
2009-03,SBUX,8175800000
2009-04,SBUX,10641100000
2009-05,SBUX,10589600000
2009-06,SBUX,10280000000
2009-07,SBUX,13046700000
2009-08,SBUX,13997500000
2009-09,SBUX,15340900000
2009-10,SBUX,14100200000
2009-11,SBUX,16210400000
2009-12,SBUX,17214300000
2010-01,SBUX,16198700000
2010-02,SBUX,17031300000
2010-03,SBUX,18076300000
2010-04,SBUX,19357700000
2010-05,SBUX,19290600000
2010-06,SBUX,17989300000
2010-07,SBUX,18391500000
2010-08,SBUX,17007500000
2010-09,SBUX,18909600000
2010-10,SBUX,21208700000
2010-11,SBUX,22677700000
2010-12,SBUX,23890300000
2011-01,SBUX,23521400000
2011-02,SBUX,24603100000
2011-03,SBUX,27564700000
2011-04,SBUX,27135500000
2011-05,SBUX,27577800000
2011-06,SBUX,29601700000
2011-07,SBUX,29911100000
2011-08,SBUX,28814400000
2011-09,SBUX,27822100000
2011-10,SBUX,31405700000
2011-11,SBUX,32410000000
2011-12,SBUX,34518200000
2012-01,SBUX,36102900000
2012-02,SBUX,36585100000
2012-03,SBUX,42107500000
2012-04,SBUX,43515100000
2012-05,SBUX,41634100000
2012-06,SBUX,40443200000
2012-07,SBUX,34412800000
2012-08,SBUX,37703600000
2012-09,SBUX,38539600000
2012-10,SBUX,34392900000
2012-11,SBUX,38570500000
2012-12,SBUX,40163500000
2013-01,SBUX,42050700000
2013-02,SBUX,41099100000
2013-03,SBUX,42672600000
2013-04,SBUX,45550900000
2013-05,SBUX,47272900000
2013-06,SBUX,49047300000
2013-07,SBUX,53566600000
2013-08,SBUX,52988700000
2013-09,SBUX,57973800000
2013-10,SBUX,61046900000
2013-11,SBUX,61388300000
2013-12,SBUX,59302000000
2014-01,SBUX,53759600000
2014-02,SBUX,53638700000
2014-03,SBUX,55335900000
2014-04,SBUX,53162700000
2014-05,SBUX,55135100000
2014-06,SBUX,58112400000
2014-07,SBUX,58353200000
2014-08,SBUX,58450900000
2014-09,SBUX,56557300000
2014-10,SBUX,56632200000
2014-11,SBUX,60769400000
2014-12,SBUX,61570300000
2015-01,SBUX,65630000000
2015-02,SBUX,70095100000
2015-03,SBUX,71072400000
2015-04,SBUX,74394800000
2015-05,SBUX,77966000000
2015-06,SBUX,79929200000
2015-07,SBUX,85979700000
2015-08,SBUX,81200600000
2015-09,SBUX,84413100000
2015-10,SBUX,92922700000
2015-11,SBUX,91151900000
2015-12,SBUX,89180600000
2016-01,SBUX,89824100000
2016-02,SBUX,86040200000
2016-03,SBUX,87430700000
2016-04,SBUX,82371300000
2016-05,SBUX,80408400000
2016-06,SBUX,83760800000
2016-07,SBUX,85136100000
2016-08,SBUX,82466900000
2016-09,SBUX,79401700000
2016-10,SBUX,77508700000
2016-11,SBUX,84369500000
2016-12,SBUX,80898700000
2017-01,SBUX,80477600000
2017-02,SBUX,82882300000
2017-03,SBUX,85097600000
2017-04,SBUX,86972900000
2017-05,SBUX,92113600000
2017-06,SBUX,84438700000
2017-07,SBUX,77941700000
2017-08,SBUX,79212400000
2017-09,SBUX,77551900000
2017-10,SBUX,78508900000
2017-11,SBUX,82266300000
2017-12,SBUX,81093800000
2018-01,SBUX,79852100000
2018-02,SBUX,80259800000
2018-03,SBUX,81370200000
2018-04,SBUX,79446600000
2018-05,SBUX,78204600000
2018-06,SBUX,67413000000
2018-07,SBUX,70679300000
2018-08,SBUX,72109400000
2018-09,SBUX,76682800000
2018-10,SBUX,76281300000
2018-11,SBUX,82772800000
2018-12,SBUX,80068500000
2019-01,SBUX,84738900000
2019-02,SBUX,87375300000
2019-03,SBUX,92449200000
2019-04,SBUX,94086000000
2019-05,SBUX,92123900000
2019-06,SBUX,101534900000
2019-07,SBUX,113343900000
2019-08,SBUX,115582300000
2019-09,SBUX,104742300000
2019-10,SBUX,100169800000
2019-11,SBUX,100892800000
2019-12,SBUX,103262000000
2020-01,SBUX,99565000000
2020-02,SBUX,92053300000
2020-03,SBUX,89424200000
2020-04,SBUX,89643700000
2020-05,SBUX,90847000000
2020-06,SBUX,85975200000
2020-07,SBUX,86489200000
2020-08,SBUX,88259500000
2020-09,SBUX,100849600000
2020-10,SBUX,104660600000
2020-11,SBUX,106359600000
2020-12,SBUX,120046000000
2021-01,SBUX,120104700000
2021-02,SBUX,125358900000
2021-03,SBUX,126206600000
2021-04,SBUX,128773100000
2021-05,SBUX,133713500000
2021-06,SBUX,131957800000
2021-07,SBUX,138414900000
2021-08,SBUX,140371900000
2021-09,SBUX,138178700000
2021-10,SBUX,133144000000
2021-11,SBUX,137848600000
2021-12,SBUX,130506800000
2022-01,SBUX,137229200000
2022-02,SBUX,110359800000
2022-03,SBUX,104964200000
2022-04,SBUX,105240900000
2022-05,SBUX,88861800000
2022-06,SBUX,90662400000
2022-07,SBUX,90903300000
2022-08,SBUX,98366600000
2022-09,SBUX,95165300000
2022-10,SBUX,96679900000
2022-11,SBUX,99353400000
2022-12,SBUX,120576400000
2023-01,SBUX,122458800000
2023-02,SBUX,119794800000
2023-03,SBUX,120159300000
2023-04,SBUX,121980000000
2023-05,SBUX,135390200000
2023-06,SBUX,114066800000
2023-07,SBUX,113562400000
2023-08,SBUX,115419600000
2023-09,SBUX,112249200000
2023-10,SBUX,106350400000
2023-11,SBUX,117575300000
2023-12,SBUX,112760600000
2024-01,SBUX,105701700000
2024-02,SBUX,105285100000
2024-03,SBUX,105477600000
2024-04,SBUX,98333300000
2001-01,CAG,12561200000
2001-02,CAG,10565600000
2001-03,CAG,9796400000
2001-04,CAG,11176800000
2001-05,CAG,11197900000
2001-06,CAG,10639300000
2001-07,CAG,11546600000
2001-08,CAG,12327300000
2001-09,CAG,12061700000
2001-10,CAG,12303500000
2001-11,CAG,12334700000
2001-12,CAG,12769000000
2002-01,CAG,13322300000
2002-02,CAG,12572000000
2002-03,CAG,13027500000
2002-04,CAG,13161800000
2002-05,CAG,13214600000
2002-06,CAG,14849200000
2002-07,CAG,13487200000
2002-08,CAG,14112000000
2002-09,CAG,13345300000
2002-10,CAG,13023100000
2002-11,CAG,13079000000
2002-12,CAG,13429500000
2003-01,CAG,13171700000
2003-02,CAG,12382300000
2003-03,CAG,10783400000
2003-04,CAG,11277500000
2003-05,CAG,13043400000
2003-06,CAG,12667700000
2003-07,CAG,12098000000
2003-08,CAG,11806500000
2003-09,CAG,11404300000
2003-10,CAG,12800300000
2003-11,CAG,13147100000
2003-12,CAG,14168900000
2004-01,CAG,13927300000
2004-02,CAG,14362000000
2004-03,CAG,14235400000
2004-04,CAG,15348600000
2004-05,CAG,14656000000
2004-06,CAG,14114000000
2004-07,CAG,13472600000
2004-08,CAG,13474300000
2004-09,CAG,13222500000
2004-10,CAG,13577400000
2004-11,CAG,13930700000
2004-12,CAG,15181500000
