,state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars)
0,alabama,2010,17.1,42081.0,2462.0
1,alabama,2011,17.6,42934.0,2582.0
2,alabama,2012,18.1,43160.0,2603.0
3,alabama,2013,18.6,43253.0,2611.0
4,alabama,2014,18.9,43511.0,2632.0
5,alabama,2015,18.8,43623.0,2672.0
6,alabama,2016,18.4,44758.0,2660.0
7,alabama,2017,18.0,46472.0,2693.0
8,alabama,2018,17.5,48486.0,2612.0
9,alabama,2019,16.7,50536.0,2819.0
10,alabama,2020,16.0,52035.0,2622.0
11,alabama,2021,15.8,54943.0,2948.0
12,alabama,2022,15.7,59609.0,3194.0
13,alaska,2010,9.5,66521.0,4041.0
14,alaska,2011,9.5,69014.0,4059.0
15,alaska,2012,9.6,69917.0,4066.0
16,alaska,2013,9.9,70760.0,4258.0
17,alaska,2014,10.1,71829.0,4259.0
18,alaska,2015,10.2,72515.0,4179.0
19,alaska,2016,10.1,74444.0,4159.0
20,alaska,2017,10.2,76114.0,4020.0
21,alaska,2018,10.8,76715.0,3885.0
22,alaska,2019,10.7,77640.0,3828.0
23,alaska,2020,10.3,77790.0,3901.0
24,alaska,2021,10.4,80287.0,4064.0
25,alaska,2022,10.5,86370.0,4420.0
26,arizona,2010,15.3,50448.0,3257.0
27,arizona,2011,16.2,50752.0,3441.0
28,arizona,2012,17.2,50256.0,3563.0
29,arizona,2013,17.9,49774.0,3544.0
30,arizona,2014,18.2,49928.0,3462.0
31,arizona,2015,18.2,50255.0,3188.0
32,arizona,2016,17.7,51340.0,2950.0
33,arizona,2017,17.0,53510.0,2739.0
34,arizona,2018,16.1,56213.0,2674.0
35,arizona,2019,15.1,58945.0,2686.0
36,arizona,2020,14.1,61529.0,3061.0
37,arizona,2021,13.5,65913.0,3842.0
38,arizona,2022,13.1,72581.0,4303.0
39,arkansas,2010,18.0,39267.0,2711.0
40,arkansas,2011,18.4,40149.0,2939.0
41,arkansas,2012,18.7,40531.0,3141.0
42,arkansas,2013,19.2,40768.0,3286.0
43,arkansas,2014,19.2,41264.0,3329.0
44,arkansas,2015,19.3,41371.0,3142.0
45,arkansas,2016,18.8,42336.0,2946.0
46,arkansas,2017,18.1,43813.0,2933.0
47,arkansas,2018,17.6,45726.0,2789.0
48,arkansas,2019,17.0,47597.0,2671.0
49,arkansas,2020,16.1,49475.0,3097.0
50,arkansas,2021,16.0,52123.0,3529.0
51,arkansas,2022,16.2,56335.0,3805.0
52,california,2010,13.7,60883.0,5556.0
53,california,2011,14.4,61632.0,5607.0
54,california,2012,15.3,61400.0,5570.0
55,california,2013,15.9,61094.0,5489.0
56,california,2014,16.4,61489.0,5281.0
57,california,2015,16.3,61818.0,4956.0
58,california,2016,15.8,63783.0,4727.0
59,california,2017,15.1,67169.0,4596.0
60,california,2018,14.3,71228.0,4558.0
61,california,2019,13.4,75235.0,4578.0
62,california,2020,12.6,78672.0,4684.0
63,california,2021,12.3,84097.0,5459.0
64,california,2022,12.1,91905.0,5909.0
65,colorado,2010,12.2,56456.0,3248.0
66,colorado,2011,12.5,57685.0,3608.0
67,colorado,2012,12.9,58244.0,3659.0
